hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-71.57755290072748 -16.4555831, -71.57989459536374 -16.45169329850977, -71.58457798463625 -16.45169329850977, -71.58691967927251 -16.4555831, -71.58457798463625 -16.459472901490226, -71.57989459536374 -16.459472901490226, -71.57755290072748 -16.4555831))",-16.4555831,-71.58223629,AREQUIPA,AREQUIPA,JACOBO HUNTER,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000002,"POLYGON ((-71.57052791072041 -16.45169329850977, -71.57286955840583 -16.447803497019542, -71.57755285377662 -16.447803497019542, -71.57989450146204 -16.45169329850977, -71.57755285377662 -16.4555831, -71.57286955840583 -16.4555831, -71.57052791072041 -16.45169329850977))",-16.45169329850977,-71.57521120609123,AREQUIPA,AREQUIPA,JACOBO HUNTER,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000003,"POLYGON ((-71.56350273290995 -16.4555831, -71.56584442754621 -16.45169329850977, -71.57052781681872 -16.45169329850977, -71.57286951145498 -16.4555831, -71.57052781681872 -16.459472901490226, -71.56584442754621 -16.459472901490226, -71.56350273290995 -16.4555831))",-16.4555831,-71.56818612218247,AREQUIPA,AREQUIPA,JACOBO HUNTER,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000004,"POLYGON ((-71.55647774290289 -16.45169329850977, -71.5588193905883 -16.447803497019542, -71.5635026859591 -16.447803497019542, -71.5658443336445 -16.45169329850977, -71.5635026859591 -16.4555831, -71.5588193905883 -16.4555831, -71.55647774290289 -16.45169329850977))",-16.45169329850977,-71.5611610382737,AREQUIPA,AREQUIPA,JACOBO HUNTER,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
zona_000005,"POLYGON ((-71.54945256509242 -16.4555831, -71.55179425972868 -16.45169329850977, -71.5564776490012 -16.45169329850977, -71.55881934363745 -16.4555831, -71.5564776490012 -16.459472901490226, -71.55179425972868 -16.459472901490226, -71.54945256509242 -16.4555831))",-16.4555831,-71.55413595436494,AREQUIPA,AREQUIPA,JACOBO HUNTER,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
zona_000006,"POLYGON ((-71.54242757508536 -16.45169329850977, -71.54476922277077 -16.447803497019542, -71.54945251814156 -16.447803497019542, -71.55179416582698 -16.45169329850977, -71.54945251814156 -16.4555831, -71.54476922277077 -16.4555831, -71.54242757508536 -16.45169329850977))",-16.45169329850977,-71.54711087045617,AREQUIPA,AREQUIPA,JACOBO HUNTER,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
zona_000007,"POLYGON ((-71.5354023972749 -16.4555831, -71.53774409191115 -16.45169329850977, -71.54242748118367 -16.45169329850977, -71.54476917581992 -16.4555831, -71.54242748118367 -16.459472901490226, -71.53774409191115 -16.459472901490226, -71.5354023972749 -16.4555831))",-16.4555831,-71.54008578654741,AREQUIPA,AREQUIPA,SOCABAYA,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
zona_000008,"POLYGON ((-71.52837740726783 -16.45169329850977, -71.53071905495324 -16.447803497019542, -71.53540235032403 -16.447803497019542, -71.53774399800945 -16.45169329850977, -71.53540235032403 -16.4555831, -71.53071905495324 -16.4555831, -71.52837740726783 -16.45169329850977))",-16.45169329850977,-71.53306070263864,AREQUIPA,AREQUIPA,SOCABAYA,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
zona_000009,"POLYGON ((-71.52135222945736 -16.4555831, -71.52369392409362 -16.45169329850977, -71.52837731336614 -16.45169329850977, -71.5307190080024 -16.4555831, -71.52837731336614 -16.459472901490226, -71.52369392409362 -16.459472901490226, -71.52135222945736 -16.4555831))",-16.4555831,-71.52603561872988,AREQUIPA,AREQUIPA,SOCABAYA,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
zona_000010,"POLYGON ((-71.5143272394503 -16.45169329850977, -71.51666888713571 -16.447803497019542, -71.5213521825065 -16.447803497019542, -71.52369383019192 -16.45169329850977, -71.5213521825065 -16.4555831, -71.51666888713571 -16.4555831, -71.5143272394503 -16.45169329850977))",-16.45169329850977,-71.5190105348211,AREQUIPA,AREQUIPA,SOCABAYA,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
zona_000011,"POLYGON ((-71.50730206163982 -16.4555831, -71.50964375627608 -16.45169329850977, -71.51432714554859 -16.45169329850977, -71.51666884018485 -16.4555831, -71.51432714554859 -16.459472901490226, -71.50964375627608 -16.459472901490226, -71.50730206163982 -16.4555831))",-16.4555831,-71.51198545091233,AREQUIPA,AREQUIPA,SABANDIA,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
zona_000012,"POLYGON ((-71.50027707163277 -16.45169329850977, -71.50261871931818 -16.447803497019542, -71.50730201468897 -16.447803497019542, -71.50964366237439 -16.45169329850977, -71.50730201468897 -16.4555831, -71.50261871931818 -16.4555831, -71.50027707163277 -16.45169329850977))",-16.45169329850977,-71.50496036700358,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000013,"POLYGON ((-71.49325189382229 -16.4555831, -71.49559358845855 -16.45169329850977, -71.50027697773106 -16.45169329850977, -71.50261867236732 -16.4555831, -71.50027697773106 -16.459472901490226, -71.49559358845855 -16.459472901490226, -71.49325189382229 -16.4555831))",-16.4555831,-71.4979352830948,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000014,"POLYGON ((-71.48622690381524 -16.45169329850977, -71.48856855150065 -16.447803497019542, -71.49325184687144 -16.447803497019542, -71.49559349455686 -16.45169329850977, -71.49325184687144 -16.4555831, -71.48856855150065 -16.4555831, -71.48622690381524 -16.45169329850977))",-16.45169329850977,-71.49091019918605,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000015,"POLYGON ((-71.47920172600476 -16.4555831, -71.48154342064102 -16.45169329850977, -71.48622680991353 -16.45169329850977, -71.48856850454979 -16.4555831, -71.48622680991353 -16.459472901490226, -71.48154342064102 -16.459472901490226, -71.47920172600476 -16.4555831))",-16.4555831,-71.48388511527727,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000016,"POLYGON ((-71.4721767359977 -16.45169329850977, -71.47451838368312 -16.447803497019542, -71.47920167905392 -16.447803497019542, -71.48154332673933 -16.45169329850977, -71.47920167905392 -16.4555831, -71.47451838368312 -16.4555831, -71.4721767359977 -16.45169329850977))",-16.45169329850977,-71.47686003136852,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000017,"POLYGON ((-71.46515155818723 -16.4555831, -71.46749325282349 -16.45169329850977, -71.472176642096 -16.45169329850977, -71.47451833673226 -16.4555831, -71.472176642096 -16.459472901490226, -71.46749325282349 -16.459472901490226, -71.46515155818723 -16.4555831))",-16.4555831,-71.46983494745974,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000018,"POLYGON ((-71.45812656818018 -16.45169329850977, -71.46046821586559 -16.447803497019542, -71.46515151123639 -16.447803497019542, -71.4674931589218 -16.45169329850977, -71.46515151123639 -16.4555831, -71.46046821586559 -16.4555831, -71.45812656818018 -16.45169329850977))",-16.45169329850977,-71.46280986355099,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000019,"POLYGON ((-71.4511013903697 -16.4555831, -71.45344308500596 -16.45169329850977, -71.45812647427847 -16.45169329850977, -71.46046816891473 -16.4555831, -71.45812647427847 -16.459472901490226, -71.45344308500596 -16.459472901490226, -71.4511013903697 -16.4555831))",-16.4555831,-71.45578477964222,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000020,"POLYGON ((-71.44407640036263 -16.45169329850977, -71.44641804804805 -16.447803497019542, -71.45110134341884 -16.447803497019542, -71.45344299110425 -16.45169329850977, -71.45110134341884 -16.4555831, -71.44641804804805 -16.4555831, -71.44407640036263 -16.45169329850977))",-16.45169329850977,-71.44875969573344,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000021,"POLYGON ((-71.43705122255217 -16.4555831, -71.43939291718843 -16.45169329850977, -71.44407630646094 -16.45169329850977, -71.4464180010972 -16.4555831, -71.44407630646094 -16.459472901490226, -71.43939291718843 -16.459472901490226, -71.43705122255217 -16.4555831))",-16.4555831,-71.44173461182469,AREQUIPA,AREQUIPA,CHARACATO,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000022,"POLYGON ((-71.4300262325451 -16.45169329850977, -71.43236788023052 -16.447803497019542, -71.43705117560131 -16.447803497019542, -71.43939282328672 -16.45169329850977, -71.43705117560131 -16.4555831, -71.43236788023052 -16.4555831, -71.4300262325451 -16.45169329850977))",-16.45169329850977,-71.43470952791591,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000023,"POLYGON ((-71.42300105473464 -16.4555831, -71.4253427493709 -16.45169329850977, -71.43002613864341 -16.45169329850977, -71.43236783327967 -16.4555831, -71.43002613864341 -16.459472901490226, -71.4253427493709 -16.459472901490226, -71.42300105473464 -16.4555831))",-16.4555831,-71.42768444400716,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000024,"POLYGON ((-71.41597606472757 -16.45169329850977, -71.41831771241299 -16.447803497019542, -71.42300100778378 -16.447803497019542, -71.4253426554692 -16.45169329850977, -71.42300100778378 -16.4555831, -71.41831771241299 -16.4555831, -71.41597606472757 -16.45169329850977))",-16.45169329850977,-71.42065936009838,AREQUIPA,AREQUIPA,SABANDIA,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000025,"POLYGON ((-71.40895088691711 -16.4555831, -71.41129258155337 -16.45169329850977, -71.41597597082588 -16.45169329850977, -71.41831766546214 -16.4555831, -71.41597597082588 -16.459472901490226, -71.41129258155337 -16.459472901490226, -71.40895088691711 -16.4555831))",-16.4555831,-71.41363427618963,AREQUIPA,AREQUIPA,CHARACATO,True,0,0,Microzona invalida,2025-04-22 10:50:40.890846
zona_000026,"POLYGON ((-71.57755308850555 -16.447803497019542, -71.57989468925277 -16.443913695529314, -71.58457789074723 -16.443913695529314, -71.58691949149444 -16.447803497019542, -71.58457789074723 -16.45169329850977, -71.57989468925277 -16.45169329850977, -71.57755308850555 -16.447803497019542))",-16.447803497019542,-71.58223629,AREQUIPA,AREQUIPA,TIABAYA,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
zona_000027,"POLYGON ((-71.57052809844778 -16.443913695529314, -71.5728696522695 -16.440023894039086, -71.57755275991295 -16.440023894039086, -71.57989431373467 -16.443913695529314, -71.57755275991295 -16.447803497019542, -71.5728696522695 -16.447803497019542, -71.57052809844778 -16.443913695529314))",-16.443913695529314,-71.57521120609123,AREQUIPA,AREQUIPA,SACHACA,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
zona_000028,"POLYGON ((-71.56350292068802 -16.447803497019542, -71.56584452143524 -16.443913695529314, -71.5705277229297 -16.443913695529314, -71.57286932367691 -16.447803497019542, -71.5705277229297 -16.45169329850977, -71.56584452143524 -16.45169329850977, -71.56350292068802 -16.447803497019542))",-16.447803497019542,-71.56818612218247,AREQUIPA,AREQUIPA,JACOBO HUNTER,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
zona_000029,"POLYGON ((-71.55647793063025 -16.443913695529314, -71.55881948445197 -16.440023894039086, -71.56350259209542 -16.440023894039086, -71.56584414591714 -16.443913695529314, -71.56350259209542 -16.447803497019542, -71.55881948445197 -16.447803497019542, -71.55647793063025 -16.443913695529314))",-16.443913695529314,-71.5611610382737,AREQUIPA,AREQUIPA,JACOBO HUNTER,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:50:40.890846
