ccdd,nombdep,ccpp,nombprov,ccdi,nombdist,capital,ubigeo,idprov,codigo,cnt_ccpp,descripcio,poblacion,fecha,dat_pob,pobreza,internet_access,edad,tam,rmapshaperid,geo_shape
1,AMAZONAS,1,CHACHAPOYAS,1,CHACHAPOYAS,CHACHAPOYAS,10101,101,10101,27,CHACHAPOYAS,36834,2020,INEI,9.05,45.1,69.4,10486,1629,"POLYGON((-77.8466 -6.2059, -77.849 -6.1988, -77.8619 -6.1952, -77.8779 -6.1964, -77.8756 -6.1833, -77.8807 -6.1793, -77.9088 -6.1776, -77.9028 -6.2081, -77.914 -6.2213, -77.9169 -6.231, -77.9209 -6.2419, -77.9342 -6.2503, -77.94 -6.2612, -77.9409 -6.2738, -77.9361 -6.2855, -77.9246 -6.2868, -77.916 -6.2827, -77.902 -6.2866, -77.8858 -6.2964, -77.8692 -6.2866, -77.8483 -6.287, -77.8481 -6.2761, -77.8271 -6.2776, -77.8164 -6.2836, -77.8086 -6.2972, -77.7993 -6.2988, -77.789 -6.2859, -77.7784 -6.2889, -77.7667 -6.2858, -77.7617 -6.2793, -77.7642 -6.2691, -77.7673 -6.2602, -77.7769 -6.2506, -77.7823 -6.2275, -77.7885 -6.2288, -77.7997 -6.2211, -77.8108 -6.2266, -77.8356 -6.2107, -77.8466 -6.2059))"
1,AMAZONAS,1,CHACHAPOYAS,2,ASUNCION,ASUNCION,10102,101,10102,9,ASUNCION,265,2020,INEI,36.5,45.1,69.4,53,457,"POLYGON((-77.7185 -6.0141, -77.7285 -6, -77.7285 -5.9909, -77.7432 -5.9612, -77.7448 -5.9449, -77.7592 -5.9569, -77.7745 -5.9743, -77.7728 -5.9885, -77.7802 -5.9955, -77.7568 -6.0055, -77.7395 -6.0273, -77.7291 -6.0317, -77.7138 -6.0448, -77.7033 -6.0255, -77.7185 -6.0141))"
1,AMAZONAS,1,CHACHAPOYAS,3,BALSAS,BALSAS,10103,101,10103,27,BALSAS,1243,2020,INEI,45.75,45.1,69.4,212,382,"POLYGON((-77.8976 -6.721, -77.9051 -6.7145, -77.9069 -6.7022, -77.9195 -6.6903, -77.936 -6.6898, -77.9418 -6.703, -77.9657 -6.7124, -77.9723 -6.7177, -78.001 -6.7212, -78.0021 -6.731, -78.0089 -6.743, -78.0278 -6.7459, -78.0353 -6.7427, -78.0358 -6.7499, -78.0204 -6.7919, -78.0242 -6.7982, -78.0164 -6.809, -78.0149 -6.8319, -78.0283 -6.8427, -78.0288 -6.8499, -78.0134 -6.8517, -78.004 -6.8588, -78.0008 -6.8673, -78.0064 -6.8753, -78.0011 -6.8816, -78.0055 -6.8936, -77.9987 -6.9001, -78.0006 -6.9098, -77.9695 -6.9125, -77.9528 -6.9079, -77.9433 -6.8979, -77.9318 -6.9005, -77.9284 -6.9076, -77.9164 -6.914, -77.9053 -6.9037, -77.8775 -6.8921, -77.8761 -6.8722, -77.8763 -6.8558, -77.8815 -6.8458, -77.879 -6.8346, -77.8881 -6.8292, -77.8845 -6.8076, -77.89 -6.7956, -77.8803 -6.7829, -77.8832 -6.7603, -77.8794 -6.7475, -77.8928 -6.7341, -77.8976 -6.721))"
1,AMAZONAS,1,CHACHAPOYAS,4,CHETO,CHETO,10104,101,10104,13,CHETO,654,2020,INEI,39.15,45.1,69.4,125,395,"POLYGON((-77.6229 -6.2675, -77.6313 -6.2613, -77.6423 -6.2728, -77.6636 -6.274, -77.6671 -6.2826, -77.6891 -6.2909, -77.696 -6.2774, -77.6945 -6.2592, -77.6987 -6.2524, -77.7123 -6.252, -77.7149 -6.2459, -77.7169 -6.2763, -77.7262 -6.284, -77.7299 -6.3084, -77.7354 -6.3115, -77.7252 -6.327, -77.7014 -6.3197, -77.693 -6.3207, -77.6823 -6.3365, -77.67 -6.3398, -77.6391 -6.3163, -77.6291 -6.3137, -77.6242 -6.3061, -77.6235 -6.2897, -77.6176 -6.2808, -77.6229 -6.2675))"
1,AMAZONAS,1,CHACHAPOYAS,5,CHILIQUIN,CHILIQUIN,10105,101,10105,37,CHILIQUIN,600,2020,INEI,53.05,45.1,69.4,89,1636,"POLYGON((-77.7291 -6.0317, -77.7395 -6.0273, -77.7568 -6.0055, -77.7802 -5.9955, -77.7905 -6.0226, -77.8051 -6.0306, -77.8057 -6.0618, -77.8078 -6.0809, -77.8049 -6.0909, -77.7961 -6.1024, -77.7905 -6.1239, -77.7804 -6.1312, -77.7607 -6.1556, -77.7485 -6.1644, -77.748 -6.1502, -77.7422 -6.1455, -77.7243 -6.1409, -77.7228 -6.1364, -77.7022 -6.1202, -77.7078 -6.103, -77.707 -6.0883, -77.7019 -6.0619, -77.7138 -6.0448, -77.7291 -6.0317))"
1,AMAZONAS,1,CHACHAPOYAS,6,CHUQUIBAMBA,CHUQUIBAMBA,10106,101,10106,39,CHUQUIBAMBA,1998,2020,INEI,51.6,45.1,69.4,303,1416,"POLYGON((-77.7811 -6.9266, -77.8005 -6.9197, -77.8015 -6.9117, -77.8187 -6.91, -77.8265 -6.8971, -77.8424 -6.8917, -77.847 -6.8799, -77.8631 -6.8684, -77.8761 -6.8722, -77.8775 -6.8921, -77.9053 -6.9037, -77.9164 -6.914, -77.9284 -6.9076, -77.9318 -6.9005, -77.9433 -6.8979, -77.9528 -6.9079, -77.9695 -6.9125, -78.0006 -6.9098, -78.0131 -6.9339, -77.9993 -6.9418, -77.9995 -6.9705, -77.9836 -6.9631, -77.9629 -6.9762, -77.9492 -6.9734, -77.9392 -6.9765, -77.9307 -6.9862, -77.9153 -6.9806, -77.9 -6.9807, -77.8871 -6.9716, -77.8803 -6.9625, -77.8459 -6.9764, -77.8392 -6.9732, -77.8334 -6.9568, -77.8099 -6.9612, -77.8019 -6.9661, -77.7876 -6.9549, -77.7793 -6.9415, -77.7811 -6.9266))"
1,AMAZONAS,1,CHACHAPOYAS,7,GRANADA,GRANADA,10107,101,10107,12,GRANADA,496,2020,INEI,43.85,45.1,69.4,88,1635,"POLYGON((-77.5422 -6.0528, -77.5547 -6.0507, -77.558 -6.0396, -77.5681 -6.0281, -77.5727 -6.0335, -77.5862 -6.0369, -77.5983 -6.0313, -77.6006 -6.048, -77.6185 -6.057, -77.6448 -6.0518, -77.6716 -6.0611, -77.6622 -6.0719, -77.661 -6.08, -77.6507 -6.0833, -77.641 -6.0947, -77.6416 -6.1043, -77.6343 -6.1105, -77.637 -6.1392, -77.6425 -6.1495, -77.6279 -6.1496, -77.6164 -6.1442, -77.5955 -6.1409, -77.5728 -6.1449, -77.5474 -6.1575, -77.5424 -6.1649, -77.5209 -6.1641, -77.5137 -6.1568, -77.4982 -6.1564, -77.4955 -6.1414, -77.4997 -6.1283, -77.5094 -6.1187, -77.5055 -6.1089, -77.5099 -6.0865, -77.5222 -6.0842, -77.5338 -6.0634, -77.5422 -6.0528))"
1,AMAZONAS,1,CHACHAPOYAS,8,HUANCAS,HUANCAS,10108,101,10108,5,HUANCAS,1330,2020,INEI,31.950000000000003,45.1,69.4,284,397,"POLYGON((-77.8761 -6.1025, -77.8909 -6.1027, -77.8954 -6.1114, -77.8976 -6.1379, -77.9043 -6.1462, -77.9058 -6.1571, -77.9031 -6.1667, -77.9088 -6.1776, -77.8807 -6.1793, -77.8756 -6.1833, -77.8779 -6.1964, -77.8619 -6.1952, -77.849 -6.1988, -77.8466 -6.2059, -77.8356 -6.2107, -77.8342 -6.2016, -77.847 -6.1794, -77.8643 -6.1438, -77.8678 -6.1332, -77.8614 -6.1192, -77.8761 -6.1025))"
1,AMAZONAS,1,CHACHAPOYAS,9,LA JALCA,LA JALCA,10109,101,10109,168,LA JALCA,4364,2020,INEI,47.95,45.1,69.4,711,1620,"POLYGON((-77.7441 -6.4401, -77.7451 -6.4273, -77.7576 -6.449, -77.7797 -6.4652, -77.8121 -6.4684, -77.8422 -6.4773, -77.8609 -6.4797, -77.8524 -6.499, -77.8514 -6.509, -77.8311 -6.5378, -77.8287 -6.5562, -77.7969 -6.5475, -77.7833 -6.5511, -77.7535 -6.5453, -77.7262 -6.5521, -77.7312 -6.5021, -77.7288 -6.4941, -77.735 -6.4749, -77.7328 -6.4559, -77.7441 -6.4401))"
1,AMAZONAS,1,CHACHAPOYAS,10,LEIMEBAMBA,LEIMEBAMBA,10110,101,10110,68,LEIMEBAMBA,3913,2020,INEI,25.700000000000003,45.1,69.4,910,383,"POLYGON((-77.7384 -6.9483, -77.7399 -6.9355, -77.7338 -6.9286, -77.7153 -6.9207, -77.7073 -6.9088, -77.7233 -6.8935, -77.741 -6.8539, -77.7401 -6.8441, -77.7512 -6.8225, -77.7617 -6.8077, -77.7595 -6.7933, -77.7353 -6.7883, -77.7372 -6.7603, -77.7467 -6.7518, -77.7458 -6.7284, -77.7395 -6.7111, -77.7447 -6.6923, -77.7411 -6.6867, -77.7456 -6.6652, -77.7403 -6.6475, -77.7517 -6.6583, -77.7644 -6.663, -77.7709 -6.6591, -77.7979 -6.6574, -77.7983 -6.6956, -77.8032 -6.7071, -77.811 -6.7067, -77.823 -6.7155, -77.8239 -6.7219, -77.8354 -6.7329, -77.8506 -6.7275, -77.8656 -6.7284, -77.8928 -6.7341, -77.8794 -6.7475, -77.8832 -6.7603, -77.8803 -6.7829, -77.89 -6.7956, -77.8845 -6.8076, -77.8881 -6.8292, -77.879 -6.8346, -77.8815 -6.8458, -77.8763 -6.8558, -77.8761 -6.8722, -77.8631 -6.8684, -77.847 -6.8799, -77.8424 -6.8917, -77.8265 -6.8971, -77.8187 -6.91, -77.8015 -6.9117, -77.8005 -6.9197, -77.7811 -6.9266, -77.7793 -6.9415, -77.7659 -6.9621, -77.7589 -6.9645, -77.7384 -6.9483))"
