hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-71.59455268336589 -16.4645831, -71.59689448668294 -16.46069329850977, -71.60157809331704 -16.46069329850977, -71.6039198966341 -16.4645831, -71.60157809331704 -16.468472901490227, -71.59689448668294 -16.468472901490227, -71.59455268336589 -16.4645831))",-16.4645831,-71.59923629,AREQUIPA,AREQUIPA,TIABAYA,True,0,0,Microzona invalida,2025-04-22 14:30:50.936162
zona_000002,"POLYGON ((-71.58752736737513 -16.46069329850977, -71.58986912371199 -16.456803497019543, -71.59455263638571 -16.456803497019543, -71.59689439272258 -16.46069329850977, -71.59455263638571 -16.4645831, -71.58986912371199 -16.4645831, -71.58752736737513 -16.46069329850977))",-16.46069329850977,-71.59221088004885,AREQUIPA,AREQUIPA,TIABAYA,True,0,0,Microzona invalida,2025-04-22 14:30:50.936162
zona_000003,"POLYGON ((-71.5805018634636 -16.4645831, -71.58284366678065 -16.46069329850977, -71.58752727341475 -16.46069329850977, -71.5898690767318 -16.4645831, -71.58752727341475 -16.468472901490227, -71.58284366678065 -16.468472901490227, -71.5805018634636 -16.4645831))",-16.4645831,-71.5851854700977,AREQUIPA,AREQUIPA,TIABAYA,True,0,0,Microzona invalida,2025-04-22 14:30:50.936162
zona_000004,"POLYGON ((-71.57347654747284 -16.46069329850977, -71.5758183038097 -16.456803497019543, -71.58050181648342 -16.456803497019543, -71.58284357282028 -16.46069329850977, -71.58050181648342 -16.4645831, -71.5758183038097 -16.4645831, -71.57347654747284 -16.46069329850977))",-16.46069329850977,-71.57816006014656,AREQUIPA,AREQUIPA,JACOBO HUNTER,True,0,0,Microzona invalida,2025-04-22 14:30:50.936162
zona_000005,"POLYGON ((-71.56645104356132 -16.4645831, -71.56879284687837 -16.46069329850977, -71.57347645351247 -16.46069329850977, -71.57581825682952 -16.4645831, -71.57347645351247 -16.468472901490227, -71.56879284687837 -16.468472901490227, -71.56645104356132 -16.4645831))",-16.4645831,-71.57113465019542,AREQUIPA,AREQUIPA,JACOBO HUNTER,True,0,0,Microzona invalida,2025-04-22 14:30:50.936162
zona_000006,"POLYGON ((-71.55942572757056 -16.46069329850977, -71.56176748390742 -16.456803497019543, -71.56645099658114 -16.456803497019543, -71.568792752918 -16.46069329850977, -71.56645099658114 -16.4645831, -71.56176748390742 -16.4645831, -71.55942572757056 -16.46069329850977))",-16.46069329850977,-71.56410924024428,AREQUIPA,AREQUIPA,JACOBO HUNTER,True,0,0,Microzona invalida,2025-04-22 14:30:50.936162
zona_000007,"POLYGON ((-71.55240022365902 -16.4645831, -71.55474202697607 -16.46069329850977, -71.55942563361018 -16.46069329850977, -71.56176743692723 -16.4645831, -71.55942563361018 -16.468472901490227, -71.55474202697607 -16.468472901490227, -71.55240022365902 -16.4645831))",-16.4645831,-71.55708383029312,AREQUIPA,AREQUIPA,SOCABAYA,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 14:30:50.936162
zona_000008,"POLYGON ((-71.54537490766826 -16.46069329850977, -71.54771666400512 -16.456803497019543, -71.55240017667884 -16.456803497019543, -71.5547419330157 -16.46069329850977, -71.55240017667884 -16.4645831, -71.54771666400512 -16.4645831, -71.54537490766826 -16.46069329850977))",-16.46069329850977,-71.55005842034198,AREQUIPA,AREQUIPA,SOCABAYA,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 14:30:50.936162
zona_000009,"POLYGON ((-71.53834940375674 -16.4645831, -71.54069120707379 -16.46069329850977, -71.5453748137079 -16.46069329850977, -71.54771661702495 -16.4645831, -71.5453748137079 -16.468472901490227, -71.54069120707379 -16.468472901490227, -71.53834940375674 -16.4645831))",-16.4645831,-71.54303301039084,AREQUIPA,AREQUIPA,SOCABAYA,True,0,0,Microzona invalida,2025-04-22 14:30:50.936162
zona_000010,"POLYGON ((-71.53132408776598 -16.46069329850977, -71.53366584410284 -16.456803497019543, -71.53834935677656 -16.456803497019543, -71.54069111311343 -16.46069329850977, -71.53834935677656 -16.4645831, -71.53366584410284 -16.4645831, -71.53132408776598 -16.46069329850977))",-16.46069329850977,-71.5360076004397,AREQUIPA,AREQUIPA,SOCABAYA,True,93,63,No se pudieron encontrar las tiendas solicitadas,2025-04-22 14:30:50.936162
