hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-74.2522307312385 -13.2222462, -74.25453766561925 -13.218356398509773, -74.25915153438073 -13.218356398509773, -74.26145846876149 -13.2222462, -74.25915153438073 -13.226136001490229, -74.25453766561925 -13.226136001490229, -74.2522307312385 -13.2222462))",-13.2222462,-74.2568446,AYACUCHO,HUAMANGA,SOCOS,True,0,0,Microzona invalida,2025-04-23 11:03:38.749416
zona_000002,"POLYGON ((-74.24531000168135 -13.218356398509773, -74.24761689926956 -13.214466597019545, -74.25223069444596 -13.214466597019545, -74.25453759203417 -13.218356398509773, -74.25223069444596 -13.2222462, -74.24761689926956 -13.2222462, -74.24531000168135 -13.218356398509773))",-13.218356398509773,-74.24992379685776,AYACUCHO,HUAMANGA,SOCOS,True,0,0,Microzona invalida,2025-04-23 11:03:38.749416
zona_000003,"POLYGON ((-74.23838912495403 -13.2222462, -74.24069605933478 -13.218356398509773, -74.24530992809626 -13.218356398509773, -74.24761686247702 -13.2222462, -74.24530992809626 -13.226136001490229, -74.24069605933478 -13.226136001490229, -74.23838912495403 -13.2222462))",-13.2222462,-74.24300299371552,AYACUCHO,HUAMANGA,CARMEN ALTO,True,0,0,Microzona invalida,2025-04-23 11:03:38.749416
zona_000004,"POLYGON ((-74.23146839539687 -13.218356398509773, -74.23377529298509 -13.214466597019545, -74.23838908816148 -13.214466597019545, -74.2406959857497 -13.218356398509773, -74.23838908816148 -13.2222462, -74.23377529298509 -13.2222462, -74.23146839539687 -13.218356398509773))",-13.218356398509773,-74.23608219057328,AYACUCHO,HUAMANGA,CARMEN ALTO,True,0,0,Microzona invalida,2025-04-23 11:03:38.749416
zona_000005,"POLYGON ((-74.22454751866955 -13.2222462, -74.22685445305031 -13.218356398509773, -74.23146832181179 -13.218356398509773, -74.23377525619254 -13.2222462, -74.23146832181179 -13.226136001490229, -74.22685445305031 -13.226136001490229, -74.22454751866955 -13.2222462))",-13.2222462,-74.22916138743105,AYACUCHO,HUAMANGA,CARMEN ALTO,True,0,0,Microzona invalida,2025-04-23 11:03:38.749416
zona_000006,"POLYGON ((-74.2176267891124 -13.218356398509773, -74.21993368670061 -13.214466597019545, -74.22454748187701 -13.214466597019545, -74.22685437946522 -13.218356398509773, -74.22454748187701 -13.2222462, -74.21993368670061 -13.2222462, -74.2176267891124 -13.218356398509773))",-13.218356398509773,-74.22224058428881,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,True,0,0,Microzona invalida,2025-04-23 11:03:38.749416
zona_000007,"POLYGON ((-74.21070591238508 -13.2222462, -74.21301284676584 -13.218356398509773, -74.21762671552732 -13.218356398509773, -74.21993364990807 -13.2222462, -74.21762671552732 -13.226136001490229, -74.21301284676584 -13.226136001490229, -74.21070591238508 -13.2222462))",-13.2222462,-74.21531978114658,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,True,0,0,Microzona invalida,2025-04-23 11:03:38.749416
zona_000008,"POLYGON ((-74.20378518282793 -13.218356398509773, -74.20609208041614 -13.214466597019545, -74.21070587559254 -13.214466597019545, -74.21301277318075 -13.218356398509773, -74.21070587559254 -13.2222462, -74.20609208041614 -13.2222462, -74.20378518282793 -13.218356398509773))",-13.218356398509773,-74.20839897800434,AYACUCHO,HUAMANGA,CHIARA,True,0,0,Microzona invalida,2025-04-23 11:03:38.749416
zona_000009,"POLYGON ((-74.1968643061006 -13.2222462, -74.19917124048135 -13.218356398509773, -74.20378510924283 -13.218356398509773, -74.20609204362358 -13.2222462, -74.20378510924283 -13.226136001490229, -74.19917124048135 -13.226136001490229, -74.1968643061006 -13.2222462))",-13.2222462,-74.20147817486209,AYACUCHO,HUAMANGA,CHIARA,True,0,0,Microzona invalida,2025-04-23 11:03:38.749416
zona_000010,"POLYGON ((-74.18994357654344 -13.218356398509773, -74.19225047413165 -13.214466597019545, -74.19686426930805 -13.214466597019545, -74.19917116689626 -13.218356398509773, -74.19686426930805 -13.2222462, -74.19225047413165 -13.2222462, -74.18994357654344 -13.218356398509773))",-13.218356398509773,-74.19455737171985,AYACUCHO,HUAMANGA,CHIARA,True,0,0,Microzona invalida,2025-04-23 11:03:38.749416
