hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-76.40972443640769 -13.1051316, -76.41203026820384 -13.101241798509772, -76.41664193179616 -13.101241798509772, -76.41894776359231 -13.1051316, -76.41664193179616 -13.109021401490228, -76.41203026820384 -13.109021401490228, -76.40972443640769 -13.1051316))",-13.1051316,-76.4143361,LIMA,CAÃ‘ETE,SAN VICENTE DE CAÃ‘ETE,True,0,0,Microzona invalida,2025-04-23 11:19:55.294541
zona_000002,"POLYGON ((-76.40280701389418 -13.101241798509772, -76.40511280925284 -13.097351997019544, -76.4097243999702 -13.097351997019544, -76.41203019532887 -13.101241798509772, -76.4097243999702 -13.1051316, -76.40511280925284 -13.1051316, -76.40280701389418 -13.101241798509772))",-13.101241798509772,-76.40741860461152,LIMA,CAÃ‘ETE,SAN VICENTE DE CAÃ‘ETE,True,0,0,Microzona invalida,2025-04-23 11:19:55.294541
zona_000003,"POLYGON ((-76.39588944563073 -13.1051316, -76.39819527742688 -13.101241798509772, -76.40280694101921 -13.101241798509772, -76.40511277281536 -13.1051316, -76.40280694101921 -13.109021401490228, -76.39819527742688 -13.109021401490228, -76.39588944563073 -13.1051316))",-13.1051316,-76.40050110922304,LIMA,CAÃ‘ETE,SAN VICENTE DE CAÃ‘ETE,True,0,0,Microzona invalida,2025-04-23 11:19:55.294541
zona_000004,"POLYGON ((-76.38897202311722 -13.101241798509772, -76.39127781847588 -13.097351997019544, -76.39588940919325 -13.097351997019544, -76.39819520455191 -13.101241798509772, -76.39588940919325 -13.1051316, -76.39127781847588 -13.1051316, -76.38897202311722 -13.101241798509772))",-13.101241798509772,-76.39358361383456,LIMA,CAÃ‘ETE,SAN VICENTE DE CAÃ‘ETE,True,0,0,Microzona invalida,2025-04-23 11:19:55.294541
zona_000005,"POLYGON ((-76.38205445485379 -13.1051316, -76.38436028664994 -13.101241798509772, -76.38897195024227 -13.101241798509772, -76.39127778203842 -13.1051316, -76.38897195024227 -13.109021401490228, -76.38436028664994 -13.109021401490228, -76.38205445485379 -13.1051316))",-13.1051316,-76.3866661184461,LIMA,CAÃ‘ETE,SAN VICENTE DE CAÃ‘ETE,True,0,0,Microzona invalida,2025-04-23 11:19:55.294541
zona_000006,"POLYGON ((-76.37513703234028 -13.101241798509772, -76.37744282769894 -13.097351997019544, -76.3820544184163 -13.097351997019544, -76.38436021377497 -13.101241798509772, -76.3820544184163 -13.1051316, -76.37744282769894 -13.1051316, -76.37513703234028 -13.101241798509772))",-13.101241798509772,-76.37974862305762,LIMA,CAÃ‘ETE,SAN VICENTE DE CAÃ‘ETE,True,0,0,Microzona invalida,2025-04-23 11:19:55.294541
zona_000007,"POLYGON ((-76.36821946407683 -13.1051316, -76.37052529587298 -13.101241798509772, -76.37513695946531 -13.101241798509772, -76.37744279126146 -13.1051316, -76.37513695946531 -13.109021401490228, -76.37052529587298 -13.109021401490228, -76.36821946407683 -13.1051316))",-13.1051316,-76.37283112766914,LIMA,CAÃ‘ETE,SAN VICENTE DE CAÃ‘ETE,True,0,0,Microzona invalida,2025-04-23 11:19:55.294541
zona_000008,"POLYGON ((-76.36130204156332 -13.101241798509772, -76.36360783692199 -13.097351997019544, -76.36821942763935 -13.097351997019544, -76.37052522299801 -13.101241798509772, -76.36821942763935 -13.1051316, -76.36360783692199 -13.1051316, -76.36130204156332 -13.101241798509772))",-13.101241798509772,-76.36591363228067,LIMA,CAÃ‘ETE,SAN VICENTE DE CAÃ‘ETE,True,0,0,Microzona invalida,2025-04-23 11:19:55.294541
zona_000009,"POLYGON ((-76.35438447329987 -13.1051316, -76.35669030509602 -13.101241798509772, -76.36130196868835 -13.101241798509772, -76.3636078004845 -13.1051316, -76.36130196868835 -13.109021401490228, -76.35669030509602 -13.109021401490228, -76.35438447329987 -13.1051316))",-13.1051316,-76.35899613689219,LIMA,CAÃ‘ETE,SAN VICENTE DE CAÃ‘ETE,True,0,0,Microzona invalida,2025-04-23 11:19:55.294541
zona_000010,"POLYGON ((-76.34746705078636 -13.101241798509772, -76.34977284614503 -13.097351997019544, -76.35438443686239 -13.097351997019544, -76.35669023222106 -13.101241798509772, -76.35438443686239 -13.1051316, -76.34977284614503 -13.1051316, -76.34746705078636 -13.101241798509772))",-13.101241798509772,-76.35207864150371,LIMA,CAÃ‘ETE,SAN VICENTE DE CAÃ‘ETE,True,0,0,Microzona invalida,2025-04-23 11:19:55.294541
