hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000010,"POLYGON ((-77.02087425393857 -12.152237598509773, -77.0231715094263 -12.148347797019545, -77.02776602040174 -12.148347797019545, -77.03006327588947 -12.152237598509773, -77.02776602040174 -12.1561274, -77.0231715094263 -12.1561274, -77.02087425393857 -12.152237598509773))",-12.152237598509773,-77.02546876491402,LIMA,LIMA,BARRANCO,True,0,0,Microzona invalida,2025-04-23 11:29:02.145702
zona_000011,"POLYGON ((-77.01398231952771 -12.1561274, -77.01627960860498 -12.152237598509773, -77.0208741867595 -12.152237598509773, -77.02317147583676 -12.1561274, -77.0208741867595 -12.160017201490229, -77.01627960860498 -12.160017201490229, -77.01398231952771 -12.1561274))",-12.1561274,-77.01857689768224,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000012,"POLYGON ((-77.00709051947501 -12.152237598509773, -77.00938777496275 -12.148347797019545, -77.01398228593818 -12.148347797019545, -77.01627954142592 -12.152237598509773, -77.01398228593818 -12.1561274, -77.00938777496275 -12.1561274, -77.00709051947501 -12.152237598509773))",-12.152237598509773,-77.01168503045047,LIMA,LIMA,SANTIAGO DE SURCO,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000013,"POLYGON ((-77.00019858506417 -12.1561274, -77.00249587414143 -12.152237598509773, -77.00709045229596 -12.152237598509773, -77.00938774137322 -12.1561274, -77.00709045229596 -12.160017201490229, -77.00249587414143 -12.160017201490229, -77.00019858506417 -12.1561274))",-12.1561274,-77.0047931632187,LIMA,LIMA,SANTIAGO DE SURCO,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000014,"POLYGON ((-76.99330678501146 -12.152237598509773, -76.99560404049919 -12.148347797019545, -77.00019855147463 -12.148347797019545, -77.00249580696236 -12.152237598509773, -77.00019855147463 -12.1561274, -76.99560404049919 -12.1561274, -76.99330678501146 -12.152237598509773))",-12.152237598509773,-76.9979012959869,LIMA,LIMA,SANTIAGO DE SURCO,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000015,"POLYGON ((-76.98641485060061 -12.1561274, -76.98871213967787 -12.152237598509773, -76.9933067178324 -12.152237598509773, -76.99560400690966 -12.1561274, -76.9933067178324 -12.160017201490229, -76.98871213967787 -12.160017201490229, -76.98641485060061 -12.1561274))",-12.1561274,-76.99100942875513,LIMA,LIMA,SANTIAGO DE SURCO,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000016,"POLYGON ((-76.97952305054791 -12.152237598509773, -76.98182030603564 -12.148347797019545, -76.98641481701108 -12.148347797019545, -76.98871207249881 -12.152237598509773, -76.98641481701108 -12.1561274, -76.98182030603564 -12.1561274, -76.97952305054791 -12.152237598509773))",-12.152237598509773,-76.98411756152336,LIMA,LIMA,SANTIAGO DE SURCO,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000017,"POLYGON ((-76.97263111613707 -12.1561274, -76.97492840521433 -12.152237598509773, -76.97952298336885 -12.152237598509773, -76.98182027244611 -12.1561274, -76.97952298336885 -12.160017201490229, -76.97492840521433 -12.160017201490229, -76.97263111613707 -12.1561274))",-12.1561274,-76.97722569429159,LIMA,LIMA,SAN JUAN DE MIRAFLORES,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000018,"POLYGON ((-76.96573931608435 -12.152237598509773, -76.96803657157209 -12.148347797019545, -76.97263108254752 -12.148347797019545, -76.97492833803526 -12.152237598509773, -76.97263108254752 -12.1561274, -76.96803657157209 -12.1561274, -76.96573931608435 -12.152237598509773))",-12.152237598509773,-76.9703338270598,LIMA,LIMA,SAN JUAN DE MIRAFLORES,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000019,"POLYGON ((-76.95884738167351 -12.1561274, -76.96114467075077 -12.152237598509773, -76.9657392489053 -12.152237598509773, -76.96803653798256 -12.1561274, -76.9657392489053 -12.160017201490229, -76.96114467075077 -12.160017201490229, -76.95884738167351 -12.1561274))",-12.1561274,-76.96344195982803,LIMA,LIMA,SAN JUAN DE MIRAFLORES,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000020,"POLYGON ((-76.95195558162081 -12.152237598509773, -76.95425283710854 -12.148347797019545, -76.95884734808398 -12.148347797019545, -76.96114460357171 -12.152237598509773, -76.95884734808398 -12.1561274, -76.95425283710854 -12.1561274, -76.95195558162081 -12.152237598509773))",-12.152237598509773,-76.95655009259626,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000021,"POLYGON ((-76.94506364720995 -12.1561274, -76.94736093628721 -12.152237598509773, -76.95195551444174 -12.152237598509773, -76.954252803519 -12.1561274, -76.95195551444174 -12.160017201490229, -76.94736093628721 -12.160017201490229, -76.94506364720995 -12.1561274))",-12.1561274,-76.94965822536447,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,True,53,54,Microzona invalida,2025-04-23 11:29:02.145702
zona_000022,"POLYGON ((-76.93817184715725 -12.152237598509773, -76.94046910264498 -12.148347797019545, -76.94506361362042 -12.148347797019545, -76.94736086910815 -12.152237598509773, -76.94506361362042 -12.1561274, -76.94046910264498 -12.1561274, -76.93817184715725 -12.152237598509773))",-12.152237598509773,-76.9427663581327,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,True,0,0,Microzona invalida,2025-04-23 11:29:02.145702
zona_000023,"POLYGON ((-76.9312799127464 -12.1561274, -76.93357720182367 -12.152237598509773, -76.93817177997819 -12.152237598509773, -76.94046906905545 -12.1561274, -76.93817177997819 -12.160017201490229, -76.93357720182367 -12.160017201490229, -76.9312799127464 -12.1561274))",-12.1561274,-76.93587449090093,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000024,"POLYGON ((-76.9243881126937 -12.152237598509773, -76.92668536818144 -12.148347797019545, -76.93127987915688 -12.148347797019545, -76.93357713464461 -12.152237598509773, -76.93127987915688 -12.1561274, -76.92668536818144 -12.1561274, -76.9243881126937 -12.152237598509773))",-12.152237598509773,-76.92898262366916,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,True,0,0,Microzona invalida,2025-04-23 11:29:02.145702
zona_000025,"POLYGON ((-76.91749617828285 -12.1561274, -76.91979346736011 -12.152237598509773, -76.92438804551463 -12.152237598509773, -76.9266853345919 -12.1561274, -76.92438804551463 -12.160017201490229, -76.91979346736011 -12.160017201490229, -76.91749617828285 -12.1561274))",-12.1561274,-76.92209075643737,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,True,0,0,Microzona invalida,2025-04-23 11:29:02.145702
zona_000035,"POLYGON ((-77.0208743882273 -12.144457995529315, -77.02317157657066 -12.140568194039087, -77.02776595325739 -12.140568194039087, -77.03006314160075 -12.144457995529315, -77.02776595325739 -12.148347797019543, -77.02317157657066 -12.148347797019543, -77.0208743882273 -12.144457995529315))",-12.144457995529315,-77.02546876491402,LIMA,LIMA,BARRANCO,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000036,"POLYGON ((-77.01398245386272 -12.148347797019545, -77.01627967577248 -12.144457995529317, -77.020874119592 -12.144457995529317, -77.02317134150175 -12.148347797019545, -77.020874119592 -12.152237598509773, -77.01627967577248 -12.152237598509773, -77.01398245386272 -12.148347797019545))",-12.148347797019545,-77.01857689768224,LIMA,LIMA,BARRANCO,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
zona_000037,"POLYGON ((-77.00709065376374 -12.144457995529315, -77.0093878421071 -12.140568194039087, -77.01398221879383 -12.140568194039087, -77.01627940713719 -12.144457995529315, -77.01398221879383 -12.148347797019543, -77.0093878421071 -12.148347797019543, -77.00709065376374 -12.144457995529315))",-12.144457995529315,-77.01168503045047,LIMA,LIMA,SANTIAGO DE SURCO,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-23 11:29:02.145702
