hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-79.8981184739739 -6.815968, -79.90038023698695 -6.812078198509772, -79.90490376301305 -6.812078198509772, -79.9071655260261 -6.815968, -79.90490376301305 -6.819857801490228, -79.90038023698695 -6.819857801490228, -79.8981184739739 -6.815968))",-6.815968,-79.902642,LAMBAYEQUE,CHICLAYO,PIMENTEL,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000002,"POLYGON ((-79.89133322163046 -6.812078198509772, -79.89359496629565 -6.808188397019544, -79.89811845562603 -6.808188397019544, -79.90038020029122 -6.812078198509772, -79.89811845562603 -6.815968, -79.89359496629565 -6.815968, -79.89133322163046 -6.812078198509772))",-6.812078198509772,-79.89585671096084,LAMBAYEQUE,CHICLAYO,PIMENTEL,True,274,148,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:59:11.703105
zona_000003,"POLYGON ((-79.88454789589558 -6.815968, -79.88680965890863 -6.812078198509772, -79.89133318493474 -6.812078198509772, -79.89359494794779 -6.815968, -79.89133318493474 -6.819857801490228, -79.88680965890863 -6.819857801490228, -79.88454789589558 -6.815968))",-6.815968,-79.88907142192168,LAMBAYEQUE,CHICLAYO,PIMENTEL,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000004,"POLYGON ((-79.87776264355215 -6.812078198509772, -79.88002438821734 -6.808188397019544, -79.88454787754772 -6.808188397019544, -79.88680962221291 -6.812078198509772, -79.88454787754772 -6.815968, -79.88002438821734 -6.815968, -79.87776264355215 -6.812078198509772))",-6.812078198509772,-79.88228613288253,LAMBAYEQUE,CHICLAYO,PIMENTEL,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000005,"POLYGON ((-79.87097731781725 -6.815968, -79.8732390808303 -6.812078198509772, -79.87776260685641 -6.812078198509772, -79.88002436986946 -6.815968, -79.87776260685641 -6.819857801490228, -79.8732390808303 -6.819857801490228, -79.87097731781725 -6.815968))",-6.815968,-79.87550084384335,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000006,"POLYGON ((-79.86419206547382 -6.812078198509772, -79.866453810139 -6.808188397019544, -79.87097729946939 -6.808188397019544, -79.87323904413458 -6.812078198509772, -79.87097729946939 -6.815968, -79.866453810139 -6.815968, -79.86419206547382 -6.812078198509772))",-6.812078198509772,-79.8687155548042,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000007,"POLYGON ((-79.85740673973893 -6.815968, -79.85966850275199 -6.812078198509772, -79.86419202877809 -6.812078198509772, -79.86645379179114 -6.815968, -79.86419202877809 -6.819857801490228, -79.85966850275199 -6.819857801490228, -79.85740673973893 -6.815968))",-6.815968,-79.86193026576504,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000008,"POLYGON ((-79.8506214873955 -6.812078198509772, -79.85288323206069 -6.808188397019544, -79.85740672139107 -6.808188397019544, -79.85966846605626 -6.812078198509772, -79.85740672139107 -6.815968, -79.85288323206069 -6.815968, -79.8506214873955 -6.812078198509772))",-6.812078198509772,-79.85514497672588,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000009,"POLYGON ((-79.84383616166062 -6.815968, -79.84609792467367 -6.812078198509772, -79.85062145069978 -6.812078198509772, -79.85288321371283 -6.815968, -79.85062145069978 -6.819857801490228, -79.84609792467367 -6.819857801490228, -79.84383616166062 -6.815968))",-6.815968,-79.84835968768672,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000010,"POLYGON ((-79.83705090931718 -6.812078198509772, -79.83931265398238 -6.808188397019544, -79.84383614331276 -6.808188397019544, -79.84609788797795 -6.812078198509772, -79.84383614331276 -6.815968, -79.83931265398238 -6.815968, -79.83705090931718 -6.812078198509772))",-6.812078198509772,-79.84157439864757,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000011,"POLYGON ((-79.83026558358229 -6.815968, -79.83252734659534 -6.812078198509772, -79.83705087262145 -6.812078198509772, -79.8393126356345 -6.815968, -79.83705087262145 -6.819857801490228, -79.83252734659534 -6.819857801490228, -79.83026558358229 -6.815968))",-6.815968,-79.8347891096084,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000012,"POLYGON ((-79.82348033123886 -6.812078198509772, -79.82574207590405 -6.808188397019544, -79.83026556523443 -6.808188397019544, -79.83252730989962 -6.812078198509772, -79.83026556523443 -6.815968, -79.82574207590405 -6.815968, -79.82348033123886 -6.812078198509772))",-6.812078198509772,-79.82800382056924,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000013,"POLYGON ((-79.81669500550397 -6.815968, -79.81895676851703 -6.812078198509772, -79.82348029454313 -6.812078198509772, -79.82574205755618 -6.815968, -79.82348029454313 -6.819857801490228, -79.81895676851703 -6.819857801490228, -79.81669500550397 -6.815968))",-6.815968,-79.82121853153008,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000014,"POLYGON ((-79.80990975316054 -6.812078198509772, -79.81217149782573 -6.808188397019544, -79.81669498715611 -6.808188397019544, -79.8189567318213 -6.812078198509772, -79.81669498715611 -6.815968, -79.81217149782573 -6.815968, -79.80990975316054 -6.812078198509772))",-6.812078198509772,-79.81443324249092,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000015,"POLYGON ((-79.80312442742566 -6.815968, -79.80538619043871 -6.812078198509772, -79.80990971646482 -6.812078198509772, -79.81217147947787 -6.815968, -79.80990971646482 -6.819857801490228, -79.80538619043871 -6.819857801490228, -79.80312442742566 -6.815968))",-6.815968,-79.80764795345176,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000016,"POLYGON ((-79.79633917508222 -6.812078198509772, -79.79860091974741 -6.808188397019544, -79.8031244090778 -6.808188397019544, -79.80538615374299 -6.812078198509772, -79.8031244090778 -6.815968, -79.79860091974741 -6.815968, -79.79633917508222 -6.812078198509772))",-6.812078198509772,-79.8008626644126,LAMBAYEQUE,CHICLAYO,POMALCA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000017,"POLYGON ((-79.78955384934733 -6.815968, -79.79181561236038 -6.812078198509772, -79.79633913838649 -6.812078198509772, -79.79860090139954 -6.815968, -79.79633913838649 -6.819857801490228, -79.79181561236038 -6.819857801490228, -79.78955384934733 -6.815968))",-6.815968,-79.79407737537343,LAMBAYEQUE,CHICLAYO,POMALCA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000018,"POLYGON ((-79.7827685970039 -6.812078198509772, -79.78503034166908 -6.808188397019544, -79.78955383099947 -6.808188397019544, -79.79181557566466 -6.812078198509772, -79.78955383099947 -6.815968, -79.78503034166908 -6.815968, -79.7827685970039 -6.812078198509772))",-6.812078198509772,-79.78729208633428,LAMBAYEQUE,CHICLAYO,POMALCA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000019,"POLYGON ((-79.77598327126901 -6.815968, -79.77824503428207 -6.812078198509772, -79.78276856030817 -6.812078198509772, -79.78503032332122 -6.815968, -79.78276856030817 -6.819857801490228, -79.77824503428207 -6.819857801490228, -79.77598327126901 -6.815968))",-6.815968,-79.78050679729512,LAMBAYEQUE,CHICLAYO,POMALCA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000020,"POLYGON ((-79.76919801892558 -6.812078198509772, -79.77145976359077 -6.808188397019544, -79.77598325292115 -6.808188397019544, -79.77824499758634 -6.812078198509772, -79.77598325292115 -6.815968, -79.77145976359077 -6.815968, -79.76919801892558 -6.812078198509772))",-6.812078198509772,-79.77372150825596,LAMBAYEQUE,CHICLAYO,POMALCA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000021,"POLYGON ((-79.7624126931907 -6.815968, -79.76467445620375 -6.812078198509772, -79.76919798222985 -6.812078198509772, -79.77145974524291 -6.815968, -79.76919798222985 -6.819857801490228, -79.76467445620375 -6.819857801490228, -79.7624126931907 -6.815968))",-6.815968,-79.7669362192168,LAMBAYEQUE,CHICLAYO,POMALCA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000022,"POLYGON ((-79.75562744084726 -6.812078198509772, -79.75788918551245 -6.808188397019544, -79.76241267484284 -6.808188397019544, -79.76467441950803 -6.812078198509772, -79.76241267484284 -6.815968, -79.75788918551245 -6.815968, -79.75562744084726 -6.812078198509772))",-6.812078198509772,-79.76015093017764,LAMBAYEQUE,CHICLAYO,POMALCA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000023,"POLYGON ((-79.74884211511237 -6.815968, -79.75110387812542 -6.812078198509772, -79.75562740415153 -6.812078198509772, -79.75788916716458 -6.815968, -79.75562740415153 -6.819857801490228, -79.75110387812542 -6.819857801490228, -79.74884211511237 -6.815968))",-6.815968,-79.75336564113847,LAMBAYEQUE,CHICLAYO,POMALCA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000024,"POLYGON ((-79.74205686276893 -6.812078198509772, -79.74431860743412 -6.808188397019544, -79.7488420967645 -6.808188397019544, -79.7511038414297 -6.812078198509772, -79.7488420967645 -6.815968, -79.74431860743412 -6.815968, -79.74205686276893 -6.812078198509772))",-6.812078198509772,-79.74658035209931,LAMBAYEQUE,CHICLAYO,POMALCA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000025,"POLYGON ((-79.73527153703405 -6.815968, -79.7375333000471 -6.812078198509772, -79.74205682607321 -6.812078198509772, -79.74431858908626 -6.815968, -79.74205682607321 -6.819857801490228, -79.7375333000471 -6.819857801490228, -79.73527153703405 -6.815968))",-6.815968,-79.73979506306016,LAMBAYEQUE,CHICLAYO,SAÃ‘Â‘A,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000026,"POLYGON ((-79.89811854734388 -6.808188397019543, -79.90038027367194 -6.804298595529315, -79.90490372632806 -6.804298595529315, -79.90716545265612 -6.808188397019543, -79.90490372632806 -6.812078198509771, -79.90038027367194 -6.812078198509771, -79.89811854734388 -6.808188397019543))",-6.808188397019543,-79.902642,LAMBAYEQUE,CHICLAYO,PIMENTEL,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000027,"POLYGON ((-79.89133329495756 -6.804298595529315, -79.8935950029592 -6.800408794039087, -79.89811841896248 -6.800408794039087, -79.90038012696412 -6.804298595529315, -79.89811841896248 -6.808188397019543, -79.8935950029592 -6.808188397019543, -79.89133329495756 -6.804298595529315))",-6.804298595529315,-79.89585671096084,LAMBAYEQUE,CHICLAYO,PIMENTEL,True,274,148,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:59:11.703105
zona_000028,"POLYGON ((-79.88454796926557 -6.808188397019543, -79.88680969559363 -6.804298595529315, -79.89133314824974 -6.804298595529315, -79.8935948745778 -6.808188397019543, -79.89133314824974 -6.812078198509771, -79.88680969559363 -6.812078198509771, -79.88454796926557 -6.808188397019543))",-6.808188397019543,-79.88907142192168,LAMBAYEQUE,CHICLAYO,PIMENTEL,True,274,148,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:59:11.703105
zona_000029,"POLYGON ((-79.87776271687925 -6.804298595529315, -79.88002442488089 -6.800408794039087, -79.88454784088417 -6.800408794039087, -79.88680954888581 -6.804298595529315, -79.88454784088417 -6.808188397019543, -79.88002442488089 -6.808188397019543, -79.87776271687925 -6.804298595529315))",-6.804298595529315,-79.88228613288253,LAMBAYEQUE,CHICLAYO,PIMENTEL,True,274,148,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:59:11.703105
zona_000030,"POLYGON ((-79.87097739118724 -6.808188397019543, -79.8732391175153 -6.804298595529315, -79.87776257017141 -6.804298595529315, -79.88002429649947 -6.808188397019543, -79.87776257017141 -6.812078198509771, -79.8732391175153 -6.812078198509771, -79.87097739118724 -6.808188397019543))",-6.808188397019543,-79.87550084384335,LAMBAYEQUE,CHICLAYO,PIMENTEL,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000031,"POLYGON ((-79.86419213880092 -6.804298595529315, -79.86645384680256 -6.800408794039087, -79.87097726280584 -6.800408794039087, -79.87323897080748 -6.804298595529315, -79.87097726280584 -6.808188397019543, -79.86645384680256 -6.808188397019543, -79.86419213880092 -6.804298595529315))",-6.804298595529315,-79.8687155548042,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000032,"POLYGON ((-79.85740681310892 -6.808188397019543, -79.85966853943698 -6.804298595529315, -79.8641919920931 -6.804298595529315, -79.86645371842116 -6.808188397019543, -79.8641919920931 -6.812078198509771, -79.85966853943698 -6.812078198509771, -79.85740681310892 -6.808188397019543))",-6.808188397019543,-79.86193026576504,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000033,"POLYGON ((-79.8506215607226 -6.804298595529315, -79.85288326872424 -6.800408794039087, -79.85740668472752 -6.800408794039087, -79.85966839272916 -6.804298595529315, -79.85740668472752 -6.808188397019543, -79.85288326872424 -6.808188397019543, -79.8506215607226 -6.804298595529315))",-6.804298595529315,-79.85514497672588,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,274,148,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:59:11.703105
zona_000034,"POLYGON ((-79.84383623503061 -6.808188397019543, -79.84609796135867 -6.804298595529315, -79.85062141401478 -6.804298595529315, -79.85288314034284 -6.808188397019543, -79.85062141401478 -6.812078198509771, -79.84609796135867 -6.812078198509771, -79.84383623503061 -6.808188397019543))",-6.808188397019543,-79.84835968768672,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,274,148,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:59:11.703105
zona_000035,"POLYGON ((-79.83705098264429 -6.804298595529315, -79.83931269064593 -6.800408794039087, -79.8438361066492 -6.800408794039087, -79.84609781465085 -6.804298595529315, -79.8438361066492 -6.808188397019543, -79.83931269064593 -6.808188397019543, -79.83705098264429 -6.804298595529315))",-6.804298595529315,-79.84157439864757,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,274,148,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:59:11.703105
zona_000036,"POLYGON ((-79.83026565695228 -6.808188397019543, -79.83252738328034 -6.804298595529315, -79.83705083593645 -6.804298595529315, -79.83931256226451 -6.808188397019543, -79.83705083593645 -6.812078198509771, -79.83252738328034 -6.812078198509771, -79.83026565695228 -6.808188397019543))",-6.808188397019543,-79.8347891096084,LAMBAYEQUE,CHICLAYO,LA VICTORIA,True,274,148,No se pudieron encontrar las tiendas solicitadas,2025-04-22 10:59:11.703105
zona_000037,"POLYGON ((-79.82348040456596 -6.804298595529315, -79.8257421125676 -6.800408794039087, -79.83026552857088 -6.800408794039087, -79.83252723657252 -6.804298595529315, -79.83026552857088 -6.808188397019543, -79.8257421125676 -6.808188397019543, -79.82348040456596 -6.804298595529315))",-6.804298595529315,-79.82800382056924,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000038,"POLYGON ((-79.81669507887396 -6.808188397019543, -79.81895680520202 -6.804298595529315, -79.82348025785814 -6.804298595529315, -79.8257419841862 -6.808188397019543, -79.82348025785814 -6.812078198509771, -79.81895680520202 -6.812078198509771, -79.81669507887396 -6.808188397019543))",-6.808188397019543,-79.82121853153008,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000039,"POLYGON ((-79.80990982648764 -6.804298595529315, -79.81217153448928 -6.800408794039087, -79.81669495049256 -6.800408794039087, -79.8189566584942 -6.804298595529315, -79.81669495049256 -6.808188397019543, -79.81217153448928 -6.808188397019543, -79.80990982648764 -6.804298595529315))",-6.804298595529315,-79.81443324249092,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000040,"POLYGON ((-79.80312450079565 -6.808188397019543, -79.8053862271237 -6.804298595529315, -79.80990967977982 -6.804298595529315, -79.81217140610788 -6.808188397019543, -79.80990967977982 -6.812078198509771, -79.8053862271237 -6.812078198509771, -79.80312450079565 -6.808188397019543))",-6.808188397019543,-79.80764795345176,LAMBAYEQUE,CHICLAYO,CHICLAYO,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000041,"POLYGON ((-79.79633924840932 -6.804298595529315, -79.79860095641097 -6.800408794039087, -79.80312437241425 -6.800408794039087, -79.80538608041589 -6.804298595529315, -79.80312437241425 -6.808188397019543, -79.79860095641097 -6.808188397019543, -79.79633924840932 -6.804298595529315))",-6.804298595529315,-79.8008626644126,LAMBAYEQUE,CHICLAYO,POMALCA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
zona_000042,"POLYGON ((-79.78955392271732 -6.808188397019543, -79.79181564904538 -6.804298595529315, -79.79633910170149 -6.804298595529315, -79.79860082802955 -6.808188397019543, -79.79633910170149 -6.812078198509771, -79.79181564904538 -6.812078198509771, -79.78955392271732 -6.808188397019543))",-6.808188397019543,-79.79407737537343,LAMBAYEQUE,CHICLAYO,POMALCA,True,0,0,Microzona invalida,2025-04-22 10:59:11.703105
