hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000008,"POLYGON ((-77.59819988126254 -11.145251198509772, -77.60048882803224 -11.141361397019544, -77.60506672157163 -11.141361397019544, -77.60735566834133 -11.145251198509772, -77.60506672157163 -11.149141, -77.60048882803224 -11.149141, -77.59819988126254 -11.145251198509772))",-11.145251198509772,-77.60277777480194,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000009,"POLYGON ((-77.59133288785002 -11.149141, -77.59362186524041 -11.145251198509772, -77.59819982002116 -11.145251198509772, -77.60048879741156 -11.149141, -77.59819982002116 -11.153030801490228, -77.59362186524041 -11.153030801490228, -77.59133288785002 -11.149141))",-11.149141,-77.59591084263079,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000010,"POLYGON ((-77.58446601692025 -11.145251198509772, -77.58675496368994 -11.141361397019544, -77.59133285722933 -11.141361397019544, -77.59362180399903 -11.145251198509772, -77.59133285722933 -11.149141, -77.58675496368994 -11.149141, -77.58446601692025 -11.145251198509772))",-11.145251198509772,-77.58904391045964,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000011,"POLYGON ((-77.57759902350772 -11.149141, -77.57988800089811 -11.145251198509772, -77.58446595567887 -11.145251198509772, -77.58675493306926 -11.149141, -77.58446595567887 -11.153030801490228, -77.57988800089811 -11.153030801490228, -77.57759902350772 -11.149141))",-11.149141,-77.58217697828849,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000012,"POLYGON ((-77.57073215257793 -11.145251198509772, -77.57302109934763 -11.141361397019544, -77.57759899288702 -11.141361397019544, -77.57988793965671 -11.145251198509772, -77.57759899288702 -11.149141, -77.57302109934763 -11.149141, -77.57073215257793 -11.145251198509772))",-11.145251198509772,-77.57531004611732,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000013,"POLYGON ((-77.5638651591654 -11.149141, -77.5661541365558 -11.145251198509772, -77.57073209133655 -11.145251198509772, -77.57302106872694 -11.149141, -77.57073209133655 -11.153030801490228, -77.5661541365558 -11.153030801490228, -77.5638651591654 -11.149141))",-11.149141,-77.56844311394617,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000014,"POLYGON ((-77.55699828823563 -11.145251198509772, -77.55928723500533 -11.141361397019544, -77.56386512854472 -11.141361397019544, -77.56615407531442 -11.145251198509772, -77.56386512854472 -11.149141, -77.55928723500533 -11.149141, -77.55699828823563 -11.145251198509772))",-11.145251198509772,-77.56157618177502,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000015,"POLYGON ((-77.5501312948231 -11.149141, -77.5524202722135 -11.145251198509772, -77.55699822699425 -11.145251198509772, -77.55928720438465 -11.149141, -77.55699822699425 -11.153030801490228, -77.5524202722135 -11.153030801490228, -77.5501312948231 -11.149141))",-11.149141,-77.55470924960387,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000016,"POLYGON ((-77.54326442389333 -11.145251198509772, -77.54555337066303 -11.141361397019544, -77.55013126420242 -11.141361397019544, -77.55242021097212 -11.145251198509772, -77.55013126420242 -11.149141, -77.54555337066303 -11.149141, -77.54326442389333 -11.145251198509772))",-11.145251198509772,-77.54784231743272,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000017,"POLYGON ((-77.5363974304808 -11.149141, -77.5386864078712 -11.145251198509772, -77.54326436265195 -11.145251198509772, -77.54555334004235 -11.149141, -77.54326436265195 -11.153030801490228, -77.5386864078712 -11.153030801490228, -77.5363974304808 -11.149141))",-11.149141,-77.54097538526158,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000018,"POLYGON ((-77.52953055955103 -11.145251198509772, -77.53181950632073 -11.141361397019544, -77.53639739986012 -11.141361397019544, -77.53868634662982 -11.145251198509772, -77.53639739986012 -11.149141, -77.53181950632073 -11.149141, -77.52953055955103 -11.145251198509772))",-11.145251198509772,-77.53410845309043,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000019,"POLYGON ((-77.52266356613849 -11.149141, -77.52495254352888 -11.145251198509772, -77.52953049830964 -11.145251198509772, -77.53181947570003 -11.149141, -77.52953049830964 -11.153030801490228, -77.52495254352888 -11.153030801490228, -77.52266356613849 -11.149141))",-11.149141,-77.52724152091926,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000020,"POLYGON ((-77.51579669520872 -11.145251198509772, -77.51808564197842 -11.141361397019544, -77.52266353551781 -11.141361397019544, -77.5249524822875 -11.145251198509772, -77.52266353551781 -11.149141, -77.51808564197842 -11.149141, -77.51579669520872 -11.145251198509772))",-11.145251198509772,-77.52037458874811,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000021,"POLYGON ((-77.50892970179619 -11.149141, -77.51121867918658 -11.145251198509772, -77.51579663396734 -11.145251198509772, -77.51808561135773 -11.149141, -77.51579663396734 -11.153030801490228, -77.51121867918658 -11.153030801490228, -77.50892970179619 -11.149141))",-11.149141,-77.51350765657696,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000022,"POLYGON ((-77.50206283086642 -11.145251198509772, -77.50435177763612 -11.141361397019544, -77.50892967117551 -11.141361397019544, -77.5112186179452 -11.145251198509772, -77.50892967117551 -11.149141, -77.50435177763612 -11.149141, -77.50206283086642 -11.145251198509772))",-11.145251198509772,-77.50664072440581,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000023,"POLYGON ((-77.49519583745389 -11.149141, -77.49748481484428 -11.145251198509772, -77.50206276962504 -11.145251198509772, -77.50435174701543 -11.149141, -77.50206276962504 -11.153030801490228, -77.49748481484428 -11.153030801490228, -77.49519583745389 -11.149141))",-11.149141,-77.49977379223466,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000024,"POLYGON ((-77.48832896652412 -11.145251198509772, -77.49061791329382 -11.141361397019544, -77.49519580683321 -11.141361397019544, -77.4974847536029 -11.145251198509772, -77.49519580683321 -11.149141, -77.49061791329382 -11.149141, -77.48832896652412 -11.145251198509772))",-11.145251198509772,-77.49290686006351,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000025,"POLYGON ((-77.48146197311159 -11.149141, -77.48375095050199 -11.145251198509772, -77.48832890528274 -11.145251198509772, -77.49061788267313 -11.149141, -77.48832890528274 -11.153030801490228, -77.48375095050199 -11.153030801490228, -77.48146197311159 -11.149141))",-11.149141,-77.48603992789236,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000033,"POLYGON ((-77.59820000367708 -11.137471595529314, -77.60048888923951 -11.133581794039086, -77.60506666036436 -11.133581794039086, -77.6073555459268 -11.137471595529314, -77.60506666036436 -11.141361397019542, -77.60048888923951 -11.141361397019542, -77.59820000367708 -11.137471595529314))",-11.137471595529314,-77.60277777480194,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000034,"POLYGON ((-77.59133301031002 -11.141361397019544, -77.5936219264704 -11.137471595529316, -77.59819975879117 -11.137471595529316, -77.60048867495155 -11.141361397019544, -77.59819975879117 -11.145251198509772, -77.5936219264704 -11.145251198509772, -77.59133301031002 -11.141361397019544))",-11.141361397019544,-77.59591084263079,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000035,"POLYGON ((-77.58446613933478 -11.137471595529314, -77.58675502489722 -11.133581794039086, -77.59133279602206 -11.133581794039086, -77.5936216815845 -11.137471595529314, -77.59133279602206 -11.141361397019542, -77.58675502489722 -11.141361397019542, -77.58446613933478 -11.137471595529314))",-11.137471595529314,-77.58904391045964,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000036,"POLYGON ((-77.57759914596772 -11.141361397019544, -77.5798880621281 -11.137471595529316, -77.58446589444887 -11.137471595529316, -77.58675481060925 -11.141361397019544, -77.58446589444887 -11.145251198509772, -77.5798880621281 -11.145251198509772, -77.57759914596772 -11.141361397019544))",-11.141361397019544,-77.58217697828849,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000037,"POLYGON ((-77.57073227499247 -11.137471595529314, -77.5730211605549 -11.133581794039086, -77.57759893167974 -11.133581794039086, -77.57988781724218 -11.137471595529314, -77.57759893167974 -11.141361397019542, -77.5730211605549 -11.141361397019542, -77.57073227499247 -11.137471595529314))",-11.137471595529314,-77.57531004611732,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000038,"POLYGON ((-77.56386528162541 -11.141361397019544, -77.56615419778579 -11.137471595529316, -77.57073203010656 -11.137471595529316, -77.57302094626694 -11.141361397019544, -77.57073203010656 -11.145251198509772, -77.56615419778579 -11.145251198509772, -77.56386528162541 -11.141361397019544))",-11.141361397019544,-77.56844311394617,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000039,"POLYGON ((-77.55699841065017 -11.137471595529314, -77.5592872962126 -11.133581794039086, -77.56386506733745 -11.133581794039086, -77.56615395289988 -11.137471595529314, -77.56386506733745 -11.141361397019542, -77.5592872962126 -11.141361397019542, -77.55699841065017 -11.137471595529314))",-11.137471595529314,-77.56157618177502,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000040,"POLYGON ((-77.55013141728311 -11.141361397019544, -77.5524203334435 -11.137471595529316, -77.55699816576426 -11.137471595529316, -77.55928708192464 -11.141361397019544, -77.55699816576426 -11.145251198509772, -77.5524203334435 -11.145251198509772, -77.55013141728311 -11.141361397019544))",-11.141361397019544,-77.55470924960387,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000041,"POLYGON ((-77.54326454630787 -11.137471595529314, -77.5455534318703 -11.133581794039086, -77.55013120299515 -11.133581794039086, -77.55242008855758 -11.137471595529314, -77.55013120299515 -11.141361397019542, -77.5455534318703 -11.141361397019542, -77.54326454630787 -11.137471595529314))",-11.137471595529314,-77.54784231743272,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000042,"POLYGON ((-77.53639755294081 -11.141361397019544, -77.5386864691012 -11.137471595529316, -77.54326430142196 -11.137471595529316, -77.54555321758234 -11.141361397019544, -77.54326430142196 -11.145251198509772, -77.5386864691012 -11.145251198509772, -77.53639755294081 -11.141361397019544))",-11.141361397019544,-77.54097538526158,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000043,"POLYGON ((-77.52953068196557 -11.137471595529314, -77.531819567528 -11.133581794039086, -77.53639733865285 -11.133581794039086, -77.53868622421528 -11.137471595529314, -77.53639733865285 -11.141361397019542, -77.531819567528 -11.141361397019542, -77.52953068196557 -11.137471595529314))",-11.137471595529314,-77.53410845309043,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000044,"POLYGON ((-77.5226636885985 -11.141361397019544, -77.52495260475888 -11.137471595529316, -77.52953043707964 -11.137471595529316, -77.53181935324002 -11.141361397019544, -77.52953043707964 -11.145251198509772, -77.52495260475888 -11.145251198509772, -77.5226636885985 -11.141361397019544))",-11.141361397019544,-77.52724152091926,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000045,"POLYGON ((-77.51579681762325 -11.137471595529314, -77.51808570318569 -11.133581794039086, -77.52266347431053 -11.133581794039086, -77.52495235987297 -11.137471595529314, -77.52266347431053 -11.141361397019542, -77.51808570318569 -11.141361397019542, -77.51579681762325 -11.137471595529314))",-11.137471595529314,-77.52037458874811,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000046,"POLYGON ((-77.5089298242562 -11.141361397019544, -77.51121874041658 -11.137471595529316, -77.51579657273734 -11.137471595529316, -77.51808548889773 -11.141361397019544, -77.51579657273734 -11.145251198509772, -77.51121874041658 -11.145251198509772, -77.5089298242562 -11.141361397019544))",-11.141361397019544,-77.51350765657696,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000047,"POLYGON ((-77.50206295328096 -11.137471595529314, -77.50435183884339 -11.133581794039086, -77.50892960996823 -11.133581794039086, -77.51121849553067 -11.137471595529314, -77.50892960996823 -11.141361397019542, -77.50435183884339 -11.141361397019542, -77.50206295328096 -11.137471595529314))",-11.137471595529314,-77.50664072440581,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000048,"POLYGON ((-77.4951959599139 -11.141361397019544, -77.49748487607428 -11.137471595529316, -77.50206270839504 -11.137471595529316, -77.50435162455543 -11.141361397019544, -77.50206270839504 -11.145251198509772, -77.49748487607428 -11.145251198509772, -77.4951959599139 -11.141361397019544))",-11.141361397019544,-77.49977379223466,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000049,"POLYGON ((-77.48832908893866 -11.137471595529314, -77.49061797450109 -11.133581794039086, -77.49519574562594 -11.133581794039086, -77.49748463118837 -11.137471595529314, -77.49519574562594 -11.141361397019542, -77.49061797450109 -11.141361397019542, -77.48832908893866 -11.137471595529314))",-11.137471595529314,-77.49290686006351,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000050,"POLYGON ((-77.4814620955716 -11.141361397019544, -77.48375101173198 -11.137471595529316, -77.48832884405275 -11.137471595529316, -77.49061776021313 -11.141361397019544, -77.48832884405275 -11.145251198509772, -77.48375101173198 -11.145251198509772, -77.4814620955716 -11.141361397019544))",-11.141361397019544,-77.48603992789236,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000056,"POLYGON ((-77.61193399034298 -11.129691992548858, -77.61422281474361 -11.12580219105863, -77.61880046354486 -11.12580219105863, -77.6210892879455 -11.129691992548858, -77.61880046354486 -11.133581794039086, -77.61422281474361 -11.133581794039086, -77.61193399034298 -11.129691992548858))",-11.129691992548858,-77.61651163914424,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
zona_000057,"POLYGON ((-77.6050669970214 -11.133581794039086, -77.60735585199724 -11.129691992548858, -77.61193356194893 -11.129691992548858, -77.61422241692478 -11.133581794039086, -77.61193356194893 -11.137471595529314, -77.60735585199724 -11.137471595529314, -77.6050669970214 -11.133581794039086))",-11.133581794039086,-77.60964470697309,LIMA,HUAURA,HUACHO,True,0,0,Microzona invalida,2025-04-23 11:58:21.705004
