hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-75.26127500272295 -12.099199, -75.26357180136148 -12.095309198509772, -75.26816539863853 -12.095309198509772, -75.27046219727706 -12.099199, -75.26816539863853 -12.103088801490228, -75.26357180136148 -12.103088801490228, -75.26127500272295 -12.099199))",-12.099199,-75.2658686,JUNIN,CHUPACA,CHONGOS BAJO,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000002,"POLYGON ((-75.25438467364795 -12.095309198509772, -75.25668143886618 -12.091419397019544, -75.26127496930268 -12.091419397019544, -75.26357173452091 -12.095309198509772, -75.26127496930268 -12.099199, -75.25668143886618 -12.099199, -75.25438467364795 -12.095309198509772))",-12.095309198509772,-75.25897820408443,JUNIN,CHUPACA,HUAMANCACA CHICO,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000003,"POLYGON ((-75.2474942108918 -12.099199, -75.24979100953033 -12.095309198509772, -75.25438460680738 -12.095309198509772, -75.2566814054459 -12.099199, -75.25438460680738 -12.103088801490228, -75.24979100953033 -12.103088801490228, -75.2474942108918 -12.099199))",-12.099199,-75.25208780816885,JUNIN,CHUPACA,TRES DE DICIEMBRE,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000004,"POLYGON ((-75.24060388181678 -12.095309198509772, -75.24290064703501 -12.091419397019544, -75.24749417747151 -12.091419397019544, -75.24979094268974 -12.095309198509772, -75.24749417747151 -12.099199, -75.24290064703501 -12.099199, -75.24060388181678 -12.095309198509772))",-12.095309198509772,-75.24519741225326,JUNIN,CHUPACA,HUAMANCACA CHICO,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000005,"POLYGON ((-75.23371341906063 -12.099199, -75.23601021769916 -12.095309198509772, -75.24060381497621 -12.095309198509772, -75.24290061361474 -12.099199, -75.24060381497621 -12.103088801490228, -75.23601021769916 -12.103088801490228, -75.23371341906063 -12.099199))",-12.099199,-75.23830701633769,JUNIN,CHUPACA,TRES DE DICIEMBRE,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000006,"POLYGON ((-75.22682308998563 -12.095309198509772, -75.22911985520386 -12.091419397019544, -75.23371338564036 -12.091419397019544, -75.23601015085859 -12.095309198509772, -75.23371338564036 -12.099199, -75.22911985520386 -12.099199, -75.22682308998563 -12.095309198509772))",-12.095309198509772,-75.23141662042211,JUNIN,HUANCAYO,CHILCA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000007,"POLYGON ((-75.21993262722948 -12.099199, -75.22222942586801 -12.095309198509772, -75.22682302314506 -12.095309198509772, -75.22911982178358 -12.099199, -75.22682302314506 -12.103088801490228, -75.22222942586801 -12.103088801490228, -75.21993262722948 -12.099199))",-12.099199,-75.22452622450653,JUNIN,HUANCAYO,CHILCA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000008,"POLYGON ((-75.21304229815446 -12.095309198509772, -75.2153390633727 -12.091419397019544, -75.21993259380919 -12.091419397019544, -75.22222935902742 -12.095309198509772, -75.21993259380919 -12.099199, -75.2153390633727 -12.099199, -75.21304229815446 -12.095309198509772))",-12.095309198509772,-75.21763582859094,JUNIN,HUANCAYO,CHILCA,True,362.0,2219.0,No se pudieron encontrar las tiendas solicitadas,2025-04-22 12:41:23.161032
zona_000009,"POLYGON ((-75.20615183539832 -12.099199, -75.20844863403684 -12.095309198509772, -75.21304223131389 -12.095309198509772, -75.21533902995242 -12.099199, -75.21304223131389 -12.103088801490228, -75.20844863403684 -12.103088801490228, -75.20615183539832 -12.099199))",-12.099199,-75.21074543267537,JUNIN,HUANCAYO,CHILCA,True,362.0,2219.0,No se pudieron encontrar las tiendas solicitadas,2025-04-22 12:41:23.161032
zona_000010,"POLYGON ((-75.19926150632331 -12.095309198509772, -75.20155827154154 -12.091419397019544, -75.20615180197804 -12.091419397019544, -75.20844856719627 -12.095309198509772, -75.20615180197804 -12.099199, -75.20155827154154 -12.099199, -75.19926150632331 -12.095309198509772))",-12.095309198509772,-75.20385503675979,JUNIN,HUANCAYO,CHILCA,True,362.0,2219.0,No se pudieron encontrar las tiendas solicitadas,2025-04-22 12:41:23.161032
zona_000011,"POLYGON ((-75.19237104356716 -12.099199, -75.19466784220569 -12.095309198509772, -75.19926143948274 -12.095309198509772, -75.20155823812127 -12.099199, -75.19926143948274 -12.103088801490228, -75.19466784220569 -12.103088801490228, -75.19237104356716 -12.099199))",-12.099199,-75.19696464084421,JUNIN,HUANCAYO,HUANCAN,True,362.0,2219.0,No se pudieron encontrar las tiendas solicitadas,2025-04-22 12:41:23.161032
zona_000012,"POLYGON ((-75.18548071449214 -12.095309198509772, -75.18777747971038 -12.091419397019544, -75.19237101014687 -12.091419397019544, -75.1946677753651 -12.095309198509772, -75.19237101014687 -12.099199, -75.18777747971038 -12.099199, -75.18548071449214 -12.095309198509772))",-12.095309198509772,-75.19007424492862,JUNIN,HUANCAYO,CHILCA,True,362.0,2219.0,No se pudieron encontrar las tiendas solicitadas,2025-04-22 12:41:23.161032
zona_000013,"POLYGON ((-75.178590251736 -12.099199, -75.18088705037452 -12.095309198509772, -75.18548064765157 -12.095309198509772, -75.1877774462901 -12.099199, -75.18548064765157 -12.103088801490228, -75.18088705037452 -12.103088801490228, -75.178590251736 -12.099199))",-12.099199,-75.18318384901305,JUNIN,HUANCAYO,CHILCA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000014,"POLYGON ((-75.17169992266099 -12.095309198509772, -75.17399668787922 -12.091419397019544, -75.17859021831572 -12.091419397019544, -75.18088698353395 -12.095309198509772, -75.17859021831572 -12.099199, -75.17399668787922 -12.099199, -75.17169992266099 -12.095309198509772))",-12.095309198509772,-75.17629345309747,JUNIN,HUANCAYO,CHILCA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000015,"POLYGON ((-75.16480945990484 -12.099199, -75.16710625854337 -12.095309198509772, -75.17169985582042 -12.095309198509772, -75.17399665445895 -12.099199, -75.17169985582042 -12.103088801490228, -75.16710625854337 -12.103088801490228, -75.16480945990484 -12.099199))",-12.099199,-75.1694030571819,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000016,"POLYGON ((-75.15791913082984 -12.095309198509772, -75.16021589604807 -12.091419397019544, -75.16480942648457 -12.091419397019544, -75.1671061917028 -12.095309198509772, -75.16480942648457 -12.099199, -75.16021589604807 -12.099199, -75.15791913082984 -12.095309198509772))",-12.095309198509772,-75.16251266126632,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000017,"POLYGON ((-75.15102866807368 -12.099199, -75.1533254667122 -12.095309198509772, -75.15791906398925 -12.095309198509772, -75.16021586262778 -12.099199, -75.15791906398925 -12.103088801490228, -75.1533254667122 -12.103088801490228, -75.15102866807368 -12.099199))",-12.099199,-75.15562226535073,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000018,"POLYGON ((-75.14413833899867 -12.095309198509772, -75.1464351042169 -12.091419397019544, -75.1510286346534 -12.091419397019544, -75.15332539987163 -12.095309198509772, -75.1510286346534 -12.099199, -75.1464351042169 -12.099199, -75.14413833899867 -12.095309198509772))",-12.095309198509772,-75.14873186943515,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000019,"POLYGON ((-75.13724787624253 -12.099199, -75.13954467488105 -12.095309198509772, -75.1441382721581 -12.095309198509772, -75.14643507079663 -12.099199, -75.1441382721581 -12.103088801490228, -75.13954467488105 -12.103088801490228, -75.13724787624253 -12.099199))",-12.099199,-75.14184147351958,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000020,"POLYGON ((-75.13035754716752 -12.095309198509772, -75.13265431238575 -12.091419397019544, -75.13724784282225 -12.091419397019544, -75.13954460804048 -12.095309198509772, -75.13724784282225 -12.099199, -75.13265431238575 -12.099199, -75.13035754716752 -12.095309198509772))",-12.095309198509772,-75.134951077604,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000021,"POLYGON ((-75.12346708441136 -12.099199, -75.12576388304988 -12.095309198509772, -75.13035748032694 -12.095309198509772, -75.13265427896546 -12.099199, -75.13035748032694 -12.103088801490228, -75.12576388304988 -12.103088801490228, -75.12346708441136 -12.099199))",-12.099199,-75.12806068168841,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000022,"POLYGON ((-75.11657675533635 -12.095309198509772, -75.11887352055459 -12.091419397019544, -75.12346705099108 -12.091419397019544, -75.12576381620931 -12.095309198509772, -75.12346705099108 -12.099199, -75.11887352055459 -12.099199, -75.11657675533635 -12.095309198509772))",-12.095309198509772,-75.12117028577283,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000023,"POLYGON ((-75.10968629258021 -12.099199, -75.11198309121873 -12.095309198509772, -75.11657668849578 -12.095309198509772, -75.11887348713431 -12.099199, -75.11657668849578 -12.103088801490228, -75.11198309121873 -12.103088801490228, -75.10968629258021 -12.099199))",-12.099199,-75.11427988985726,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000024,"POLYGON ((-75.1027959635052 -12.095309198509772, -75.10509272872343 -12.091419397019544, -75.10968625915993 -12.091419397019544, -75.11198302437816 -12.095309198509772, -75.10968625915993 -12.099199, -75.10509272872343 -12.099199, -75.1027959635052 -12.095309198509772))",-12.095309198509772,-75.10738949394168,JUNIN,HUANCAYO,SAPALLANGA,,,,Microzona invalida,2025-04-22 12:41:23.161032
zona_000025,"POLYGON ((-75.09590550074904 -12.099199, -75.09820229938757 -12.095309198509772, -75.10279589666462 -12.095309198509772, -75.10509269530314 -12.099199, -75.10279589666462 -12.103088801490228, -75.09820229938757 -12.103088801490228, -75.09590550074904 -12.099199))",-12.099199,-75.10049909802609,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000026,"POLYGON ((-75.26127513638097 -12.091419397019544, -75.2635718681905 -12.087529595529316, -75.26816533180951 -12.087529595529316, -75.27046206361904 -12.091419397019544, -75.26816533180951 -12.095309198509772, -75.2635718681905 -12.095309198509772, -75.26127513638097 -12.091419397019544))",-12.091419397019544,-75.2658686,JUNIN,CHUPACA,CHUPACA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000027,"POLYGON ((-75.25438480725974 -12.087529595529315, -75.25668150567209 -12.083639794039087, -75.26127490249677 -12.083639794039087, -75.26357160090912 -12.087529595529315, -75.26127490249677 -12.091419397019543, -75.25668150567209 -12.091419397019543, -75.25438480725974 -12.087529595529315))",-12.087529595529315,-75.25897820408443,JUNIN,CHUPACA,HUAMANCACA CHICO,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000028,"POLYGON ((-75.24749434454982 -12.091419397019544, -75.24979107635934 -12.087529595529316, -75.25438453997836 -12.087529595529316, -75.25668127178788 -12.091419397019544, -75.25438453997836 -12.095309198509772, -75.24979107635934 -12.095309198509772, -75.24749434454982 -12.091419397019544))",-12.091419397019544,-75.25208780816885,JUNIN,CHUPACA,HUAMANCACA CHICO,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000029,"POLYGON ((-75.24060401542857 -12.087529595529315, -75.24290071384092 -12.083639794039087, -75.2474941106656 -12.083639794039087, -75.24979080907795 -12.087529595529315, -75.2474941106656 -12.091419397019543, -75.24290071384092 -12.091419397019543, -75.24060401542857 -12.087529595529315))",-12.087529595529315,-75.24519741225326,JUNIN,CHUPACA,HUAMANCACA CHICO,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000030,"POLYGON ((-75.23371355271865 -12.091419397019544, -75.23601028452818 -12.087529595529316, -75.2406037481472 -12.087529595529316, -75.24290047995672 -12.091419397019544, -75.2406037481472 -12.095309198509772, -75.23601028452818 -12.095309198509772, -75.23371355271865 -12.091419397019544))",-12.091419397019544,-75.23830701633769,JUNIN,CHUPACA,HUAMANCACA CHICO,,,,Microzona invalida,2025-04-22 12:41:23.161032
zona_000031,"POLYGON ((-75.22682322359742 -12.087529595529315, -75.22911992200977 -12.083639794039087, -75.23371331883445 -12.083639794039087, -75.2360100172468 -12.087529595529315, -75.23371331883445 -12.091419397019543, -75.22911992200977 -12.091419397019543, -75.22682322359742 -12.087529595529315))",-12.087529595529315,-75.23141662042211,JUNIN,HUANCAYO,CHILCA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000032,"POLYGON ((-75.2199327608875 -12.091419397019544, -75.22222949269702 -12.087529595529316, -75.22682295631604 -12.087529595529316, -75.22911968812556 -12.091419397019544, -75.22682295631604 -12.095309198509772, -75.22222949269702 -12.095309198509772, -75.2199327608875 -12.091419397019544))",-12.091419397019544,-75.22452622450653,JUNIN,HUANCAYO,CHILCA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000033,"POLYGON ((-75.21304243176625 -12.087529595529315, -75.2153391301786 -12.083639794039087, -75.21993252700328 -12.083639794039087, -75.22222922541563 -12.087529595529315, -75.21993252700328 -12.091419397019543, -75.2153391301786 -12.091419397019543, -75.21304243176625 -12.087529595529315))",-12.087529595529315,-75.21763582859094,JUNIN,HUANCAYO,CHILCA,True,362.0,2219.0,No se pudieron encontrar las tiendas solicitadas,2025-04-22 12:41:23.161032
zona_000034,"POLYGON ((-75.20615196905634 -12.091419397019544, -75.20844870086586 -12.087529595529316, -75.21304216448488 -12.087529595529316, -75.2153388962944 -12.091419397019544, -75.21304216448488 -12.095309198509772, -75.20844870086586 -12.095309198509772, -75.20615196905634 -12.091419397019544))",-12.091419397019544,-75.21074543267537,JUNIN,HUANCAYO,CHILCA,True,362.0,2219.0,No se pudieron encontrar las tiendas solicitadas,2025-04-22 12:41:23.161032
zona_000035,"POLYGON ((-75.1992616399351 -12.087529595529315, -75.20155833834745 -12.083639794039087, -75.20615173517213 -12.083639794039087, -75.20844843358448 -12.087529595529315, -75.20615173517213 -12.091419397019543, -75.20155833834745 -12.091419397019543, -75.1992616399351 -12.087529595529315))",-12.087529595529315,-75.20385503675979,JUNIN,HUANCAYO,CHILCA,True,362.0,2219.0,No se pudieron encontrar las tiendas solicitadas,2025-04-22 12:41:23.161032
zona_000036,"POLYGON ((-75.19237117722518 -12.091419397019544, -75.1946679090347 -12.087529595529316, -75.19926137265372 -12.087529595529316, -75.20155810446325 -12.091419397019544, -75.19926137265372 -12.095309198509772, -75.1946679090347 -12.095309198509772, -75.19237117722518 -12.091419397019544))",-12.091419397019544,-75.19696464084421,JUNIN,HUANCAYO,CHILCA,,,,No se pudieron encontrar las tiendas solicitadas,2025-04-22 12:41:23.161032
zona_000037,"POLYGON ((-75.18548084810394 -12.087529595529315, -75.18777754651629 -12.083639794039087, -75.19237094334096 -12.083639794039087, -75.19466764175331 -12.087529595529315, -75.19237094334096 -12.091419397019543, -75.18777754651629 -12.091419397019543, -75.18548084810394 -12.087529595529315))",-12.087529595529315,-75.19007424492862,JUNIN,HUANCAYO,CHILCA,True,362.0,2219.0,No se pudieron encontrar las tiendas solicitadas,2025-04-22 12:41:23.161032
zona_000038,"POLYGON ((-75.17859038539402 -12.091419397019544, -75.18088711720354 -12.087529595529316, -75.18548058082256 -12.087529595529316, -75.18777731263208 -12.091419397019544, -75.18548058082256 -12.095309198509772, -75.18088711720354 -12.095309198509772, -75.17859038539402 -12.091419397019544))",-12.091419397019544,-75.18318384901305,JUNIN,HUANCAYO,CHILCA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000039,"POLYGON ((-75.17170005627278 -12.087529595529315, -75.17399675468513 -12.083639794039087, -75.17859015150981 -12.083639794039087, -75.18088684992216 -12.087529595529315, -75.17859015150981 -12.091419397019543, -75.17399675468513 -12.091419397019543, -75.17170005627278 -12.087529595529315))",-12.087529595529315,-75.17629345309747,JUNIN,HUANCAYO,CHILCA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000040,"POLYGON ((-75.16480959356286 -12.091419397019544, -75.16710632537239 -12.087529595529316, -75.1716997889914 -12.087529595529316, -75.17399652080093 -12.091419397019544, -75.1716997889914 -12.095309198509772, -75.16710632537239 -12.095309198509772, -75.16480959356286 -12.091419397019544))",-12.091419397019544,-75.1694030571819,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000041,"POLYGON ((-75.15791926444163 -12.087529595529315, -75.16021596285398 -12.083639794039087, -75.16480935967866 -12.083639794039087, -75.16710605809101 -12.087529595529315, -75.16480935967866 -12.091419397019543, -75.16021596285398 -12.091419397019543, -75.15791926444163 -12.087529595529315))",-12.087529595529315,-75.16251266126632,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000042,"POLYGON ((-75.1510288017317 -12.091419397019544, -75.15332553354122 -12.087529595529316, -75.15791899716024 -12.087529595529316, -75.16021572896976 -12.091419397019544, -75.15791899716024 -12.095309198509772, -75.15332553354122 -12.095309198509772, -75.1510288017317 -12.091419397019544))",-12.091419397019544,-75.15562226535073,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000043,"POLYGON ((-75.14413847261046 -12.087529595529315, -75.14643517102282 -12.083639794039087, -75.15102856784749 -12.083639794039087, -75.15332526625984 -12.087529595529315, -75.15102856784749 -12.091419397019543, -75.14643517102282 -12.091419397019543, -75.14413847261046 -12.087529595529315))",-12.087529595529315,-75.14873186943515,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000044,"POLYGON ((-75.13724800990055 -12.091419397019544, -75.13954474171007 -12.087529595529316, -75.14413820532909 -12.087529595529316, -75.14643493713861 -12.091419397019544, -75.14413820532909 -12.095309198509772, -75.13954474171007 -12.095309198509772, -75.13724800990055 -12.091419397019544))",-12.091419397019544,-75.14184147351958,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000045,"POLYGON ((-75.13035768077931 -12.087529595529315, -75.13265437919166 -12.083639794039087, -75.13724777601634 -12.083639794039087, -75.13954447442869 -12.087529595529315, -75.13724777601634 -12.091419397019543, -75.13265437919166 -12.091419397019543, -75.13035768077931 -12.087529595529315))",-12.087529595529315,-75.134951077604,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000046,"POLYGON ((-75.12346721806938 -12.091419397019544, -75.1257639498789 -12.087529595529316, -75.13035741349792 -12.087529595529316, -75.13265414530744 -12.091419397019544, -75.13035741349792 -12.095309198509772, -75.1257639498789 -12.095309198509772, -75.12346721806938 -12.091419397019544))",-12.091419397019544,-75.12806068168841,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000047,"POLYGON ((-75.11657688894815 -12.087529595529315, -75.1188735873605 -12.083639794039087, -75.12346698418517 -12.083639794039087, -75.12576368259752 -12.087529595529315, -75.12346698418517 -12.091419397019543, -75.1188735873605 -12.091419397019543, -75.11657688894815 -12.087529595529315))",-12.087529595529315,-75.12117028577283,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000048,"POLYGON ((-75.10968642623823 -12.091419397019544, -75.11198315804775 -12.087529595529316, -75.11657662166677 -12.087529595529316, -75.11887335347629 -12.091419397019544, -75.11657662166677 -12.095309198509772, -75.11198315804775 -12.095309198509772, -75.10968642623823 -12.091419397019544))",-12.091419397019544,-75.11427988985726,JUNIN,HUANCAYO,SAPALLANGA,,,,Microzona invalida,2025-04-22 12:41:23.161032
zona_000049,"POLYGON ((-75.102796097117 -12.087529595529315, -75.10509279552934 -12.083639794039087, -75.10968619235402 -12.083639794039087, -75.11198289076637 -12.087529595529315, -75.10968619235402 -12.091419397019543, -75.10509279552934 -12.091419397019543, -75.102796097117 -12.087529595529315))",-12.087529595529315,-75.10738949394168,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000050,"POLYGON ((-75.09590563440706 -12.091419397019544, -75.09820236621658 -12.087529595529316, -75.1027958298356 -12.087529595529316, -75.10509256164512 -12.091419397019544, -75.1027958298356 -12.095309198509772, -75.09820236621658 -12.095309198509772, -75.09590563440706 -12.091419397019544))",-12.091419397019544,-75.10049909802609,JUNIN,HUANCAYO,SAPALLANGA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000051,"POLYGON ((-75.26127526994655 -12.083639794039087, -75.26357193497327 -12.079749992548859, -75.26816526502674 -12.079749992548859, -75.27046193005346 -12.083639794039087, -75.26816526502674 -12.087529595529315, -75.26357193497327 -12.087529595529315, -75.26127526994655 -12.083639794039087))",-12.083639794039087,-75.2658686,JUNIN,CHUPACA,CHUPACA,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
zona_000052,"POLYGON ((-75.25438494077909 -12.079749992548859, -75.25668157243176 -12.07586019105863, -75.2612748357371 -12.07586019105863, -75.26357146738977 -12.079749992548859, -75.2612748357371 -12.083639794039087, -75.25668157243176 -12.083639794039087, -75.25438494077909 -12.079749992548859))",-12.079749992548859,-75.25897820408443,JUNIN,CHUPACA,HUAMANCACA CHICO,True,0.0,0.0,Microzona invalida,2025-04-22 12:41:23.161032
