hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-76.27396720202883 -9.9680716, -76.27624740101442 -9.964181798509772, -76.28080779898559 -9.964181798509772, -76.28308799797118 -9.9680716, -76.28080779898559 -9.971961401490228, -76.27624740101442 -9.971961401490228, -76.27396720202883 -9.9680716))",-9.9680716,-76.2785276,HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,True,0,0,Microzona invalida,2025-04-23 12:06:31.637272
zona_000002,"POLYGON ((-76.2671266594747 -9.964181798509772, -76.26940683125896 -9.960291997019544, -76.27396717482752 -9.960291997019544, -76.27624734661178 -9.964181798509772, -76.27396717482752 -9.9680716, -76.26940683125896 -9.9680716, -76.2671266594747 -9.964181798509772))",-9.964181798509772,-76.27168700304324,HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,True,0,0,Microzona invalida,2025-04-23 12:06:31.637272
zona_000003,"POLYGON ((-76.2602860081153 -9.9680716, -76.26256620710089 -9.964181798509772, -76.26712660507206 -9.964181798509772, -76.26940680405765 -9.9680716, -76.26712660507206 -9.971961401490228, -76.26256620710089 -9.971961401490228, -76.2602860081153 -9.9680716))",-9.9680716,-76.26484640608648,HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,True,0,0,Microzona invalida,2025-04-23 12:06:31.637272
zona_000004,"POLYGON ((-76.25344546556117 -9.964181798509772, -76.25572563734544 -9.960291997019544, -76.26028598091399 -9.960291997019544, -76.26256615269826 -9.964181798509772, -76.26028598091399 -9.9680716, -76.25572563734544 -9.9680716, -76.25344546556117 -9.964181798509772))",-9.964181798509772,-76.25800580912971,HUANUCO,HUANUCO,PILLCO MARCA,True,0,0,Microzona invalida,2025-04-23 12:06:31.637272
zona_000005,"POLYGON ((-76.24660481420179 -9.9680716, -76.24888501318738 -9.964181798509772, -76.25344541115855 -9.964181798509772, -76.25572561014414 -9.9680716, -76.25344541115855 -9.971961401490228, -76.24888501318738 -9.971961401490228, -76.24660481420179 -9.9680716))",-9.9680716,-76.25116521217296,HUANUCO,HUANUCO,PILLCO MARCA,True,0,0,Microzona invalida,2025-04-23 12:06:31.637272
zona_000006,"POLYGON ((-76.23976427164766 -9.964181798509772, -76.24204444343192 -9.960291997019544, -76.24660478700048 -9.960291997019544, -76.24888495878474 -9.964181798509772, -76.24660478700048 -9.9680716, -76.24204444343192 -9.9680716, -76.23976427164766 -9.964181798509772))",-9.964181798509772,-76.2443246152162,HUANUCO,HUANUCO,PILLCO MARCA,True,0,0,Microzona invalida,2025-04-23 12:06:31.637272
zona_000007,"POLYGON ((-76.23292362028826 -9.9680716, -76.23520381927385 -9.964181798509772, -76.23976421724502 -9.964181798509772, -76.24204441623061 -9.9680716, -76.23976421724502 -9.971961401490228, -76.23520381927385 -9.971961401490228, -76.23292362028826 -9.9680716))",-9.9680716,-76.23748401825944,HUANUCO,HUANUCO,AMARILIS,True,0,0,Microzona invalida,2025-04-23 12:06:31.637272
zona_000008,"POLYGON ((-76.22608307773413 -9.964181798509772, -76.2283632495184 -9.960291997019544, -76.23292359308695 -9.960291997019544, -76.23520376487122 -9.964181798509772, -76.23292359308695 -9.9680716, -76.2283632495184 -9.9680716, -76.22608307773413 -9.964181798509772))",-9.964181798509772,-76.23064342130267,HUANUCO,HUANUCO,AMARILIS,True,0,0,Microzona invalida,2025-04-23 12:06:31.637272
zona_000009,"POLYGON ((-76.21924242637473 -9.9680716, -76.22152262536032 -9.964181798509772, -76.2260830233315 -9.964181798509772, -76.22836322231709 -9.9680716, -76.2260830233315 -9.971961401490228, -76.22152262536032 -9.971961401490228, -76.21924242637473 -9.9680716))",-9.9680716,-76.22380282434591,HUANUCO,HUANUCO,AMARILIS,True,0,0,Microzona invalida,2025-04-23 12:06:31.637272
zona_000010,"POLYGON ((-76.2124018838206 -9.964181798509772, -76.21468205560487 -9.960291997019544, -76.21924239917342 -9.960291997019544, -76.22152257095769 -9.964181798509772, -76.21924239917342 -9.9680716, -76.21468205560487 -9.9680716, -76.2124018838206 -9.964181798509772))",-9.964181798509772,-76.21696222738915,HUANUCO,HUANUCO,AMARILIS,True,0,0,Microzona invalida,2025-04-23 12:06:31.637272
