hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-77.55728350862931 -9.5584525, -77.55956090431467 -9.554562698509772, -77.56411569568535 -9.554562698509772, -77.5663930913707 -9.5584525, -77.56411569568535 -9.562342301490228, -77.55956090431467 -9.562342301490228, -77.55728350862931 -9.5584525))",-9.5584525,-77.5618383,ANCASH,HUARAZ,INDEPENDENCIA,True,0.0,0.0,Microzona invalida,2025-04-23 12:26:29.947128
zona_000002,"POLYGON ((-77.55045137363291 -9.554562698509772, -77.55272874328844 -9.550672897019544, -77.5572834825995 -9.550672897019544, -77.55956085225503 -9.554562698509772, -77.5572834825995 -9.5584525, -77.55272874328844 -9.5584525, -77.55045137363291 -9.554562698509772))",-9.554562698509772,-77.55500611294397,ANCASH,HUARAZ,HUARAZ,True,0.0,0.0,Microzona invalida,2025-04-23 12:26:29.947128
zona_000003,"POLYGON ((-77.54361913451723 -9.5584525, -77.54589653020258 -9.554562698509772, -77.55045132157326 -9.554562698509772, -77.55272871725862 -9.5584525, -77.55045132157326 -9.562342301490228, -77.54589653020258 -9.562342301490228, -77.54361913451723 -9.5584525))",-9.5584525,-77.54817392588792,ANCASH,HUARAZ,HUARAZ,True,0.0,0.0,Microzona invalida,2025-04-23 12:26:29.947128
zona_000004,"POLYGON ((-77.53678699952083 -9.554562698509772, -77.53906436917636 -9.550672897019544, -77.54361910848742 -9.550672897019544, -77.54589647814295 -9.554562698509772, -77.54361910848742 -9.5584525, -77.53906436917636 -9.5584525, -77.53678699952083 -9.554562698509772))",-9.554562698509772,-77.54134173883189,ANCASH,HUARAZ,HUARAZ,True,0.0,0.0,Microzona invalida,2025-04-23 12:26:29.947128
zona_000005,"POLYGON ((-77.52995476040516 -9.5584525, -77.53223215609052 -9.554562698509772, -77.5367869474612 -9.554562698509772, -77.53906434314655 -9.5584525, -77.5367869474612 -9.562342301490228, -77.53223215609052 -9.562342301490228, -77.52995476040516 -9.5584525))",-9.5584525,-77.53450955177586,ANCASH,HUARAZ,HUARAZ,True,0.0,0.0,Microzona invalida,2025-04-23 12:26:29.947128
zona_000006,"POLYGON ((-77.52312262540875 -9.554562698509772, -77.52539999506428 -9.550672897019544, -77.52995473437534 -9.550672897019544, -77.53223210403087 -9.554562698509772, -77.52995473437534 -9.5584525, -77.52539999506428 -9.5584525, -77.52312262540875 -9.554562698509772))",-9.554562698509772,-77.5276773647198,ANCASH,HUARAZ,HUARAZ,True,0.0,0.0,Microzona invalida,2025-04-23 12:26:29.947128
zona_000007,"POLYGON ((-77.51629038629308 -9.5584525, -77.51856778197843 -9.554562698509772, -77.52312257334911 -9.554562698509772, -77.52539996903447 -9.5584525, -77.52312257334911 -9.562342301490228, -77.51856778197843 -9.562342301490228, -77.51629038629308 -9.5584525))",-9.5584525,-77.52084517766377,ANCASH,HUARAZ,HUARAZ,True,0.0,0.0,Microzona invalida,2025-04-23 12:26:29.947128
zona_000008,"POLYGON ((-77.50945825129668 -9.554562698509772, -77.51173562095221 -9.550672897019544, -77.51629036026327 -9.550672897019544, -77.5185677299188 -9.554562698509772, -77.51629036026327 -9.5584525, -77.51173562095221 -9.5584525, -77.50945825129668 -9.554562698509772))",-9.554562698509772,-77.51401299060774,ANCASH,HUARAZ,HUARAZ,True,0.0,0.0,Microzona invalida,2025-04-23 12:26:29.947128
zona_000009,"POLYGON ((-77.502626012181 -9.5584525, -77.50490340786635 -9.554562698509772, -77.50945819923703 -9.554562698509772, -77.51173559492238 -9.5584525, -77.50945819923703 -9.562342301490228, -77.50490340786635 -9.562342301490228, -77.502626012181 -9.5584525))",-9.5584525,-77.50718080355169,ANCASH,HUARAZ,HUARAZ,True,0.0,0.0,Microzona invalida,2025-04-23 12:26:29.947128
zona_000010,"POLYGON ((-77.4957938771846 -9.554562698509772, -77.49807124684013 -9.550672897019544, -77.50262598615119 -9.550672897019544, -77.50490335580672 -9.554562698509772, -77.50262598615119 -9.5584525, -77.49807124684013 -9.5584525, -77.4957938771846 -9.554562698509772))",-9.554562698509772,-77.50034861649566,ANCASH,HUARAZ,HUARAZ,True,0.0,0.0,Microzona invalida,2025-04-23 12:26:29.947128
