hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-70.20122842641213 -15.5970155, -70.20356006320606 -15.593125698509771, -70.20822333679394 -15.593125698509771, -70.21055497358786 -15.5970155, -70.20822333679394 -15.600905301490227, -70.20356006320606 -15.600905301490227, -70.20122842641213 -15.5970155))",-15.5970155,-70.2058917,PUNO,SAN ROMAN,CABANA,True,0.0,0.0,Microzona invalida,2025-04-23 12:50:24.585941
zona_000002,"POLYGON ((-70.19423360439333 -15.593125698509771, -70.19656519700577 -15.589235897019543, -70.20122838223061 -15.589235897019543, -70.20355997484305 -15.593125698509771, -70.20122838223061 -15.5970155, -70.19656519700577 -15.5970155, -70.19423360439333 -15.593125698509771))",-15.593125698509771,-70.19889678961819,PUNO,SAN ROMAN,CABANA,True,0.0,0.0,Microzona invalida,2025-04-23 12:50:24.585941
zona_000003,"POLYGON ((-70.18723860564853 -15.5970155, -70.18957024244246 -15.593125698509771, -70.19423351603034 -15.593125698509771, -70.19656515282426 -15.5970155, -70.19423351603034 -15.600905301490227, -70.18957024244246 -15.600905301490227, -70.18723860564853 -15.5970155))",-15.5970155,-70.1919018792364,PUNO,SAN ROMAN,CARACOTO,True,0.0,0.0,Microzona invalida,2025-04-23 12:50:24.585941
zona_000004,"POLYGON ((-70.18024378362973 -15.593125698509771, -70.18257537624217 -15.589235897019543, -70.18723856146701 -15.589235897019543, -70.18957015407945 -15.593125698509771, -70.18723856146701 -15.5970155, -70.18257537624217 -15.5970155, -70.18024378362973 -15.593125698509771))",-15.593125698509771,-70.18490696885459,PUNO,SAN ROMAN,CARACOTO,True,0.0,0.0,Microzona invalida,2025-04-23 12:50:24.585941
zona_000005,"POLYGON ((-70.17324878488493 -15.5970155, -70.17558042167886 -15.593125698509771, -70.18024369526674 -15.593125698509771, -70.18257533206067 -15.5970155, -70.18024369526674 -15.600905301490227, -70.17558042167886 -15.600905301490227, -70.17324878488493 -15.5970155))",-15.5970155,-70.1779120584728,PUNO,SAN ROMAN,CARACOTO,True,0.0,0.0,Microzona invalida,2025-04-23 12:50:24.585941
zona_000006,"POLYGON ((-70.16625396286614 -15.593125698509771, -70.16858555547857 -15.589235897019543, -70.17324874070341 -15.589235897019543, -70.17558033331585 -15.593125698509771, -70.17324874070341 -15.5970155, -70.16858555547857 -15.5970155, -70.16625396286614 -15.593125698509771))",-15.593125698509771,-70.170917148091,PUNO,SAN ROMAN,CARACOTO,True,0.0,0.0,Microzona invalida,2025-04-23 12:50:24.585941
zona_000007,"POLYGON ((-70.15925896412134 -15.5970155, -70.16159060091526 -15.593125698509771, -70.16625387450314 -15.593125698509771, -70.16858551129707 -15.5970155, -70.16625387450314 -15.600905301490227, -70.16159060091526 -15.600905301490227, -70.15925896412134 -15.5970155))",-15.5970155,-70.1639222377092,PUNO,SAN ROMAN,CARACOTO,True,0.0,0.0,Microzona invalida,2025-04-23 12:50:24.585941
zona_000008,"POLYGON ((-70.15226414210254 -15.593125698509771, -70.15459573471497 -15.589235897019543, -70.15925891993982 -15.589235897019543, -70.16159051255225 -15.593125698509771, -70.15925891993982 -15.5970155, -70.15459573471497 -15.5970155, -70.15226414210254 -15.593125698509771))",-15.593125698509771,-70.1569273273274,PUNO,SAN ROMAN,CARACOTO,True,0.0,0.0,Microzona invalida,2025-04-23 12:50:24.585941
zona_000009,"POLYGON ((-70.14526914335774 -15.5970155, -70.14760078015166 -15.593125698509771, -70.15226405373954 -15.593125698509771, -70.15459569053347 -15.5970155, -70.15226405373954 -15.600905301490227, -70.14760078015166 -15.600905301490227, -70.14526914335774 -15.5970155))",-15.5970155,-70.1499324169456,PUNO,SAN ROMAN,CARACOTO,True,0.0,0.0,Microzona invalida,2025-04-23 12:50:24.585941
zona_000010,"POLYGON ((-70.13827432133894 -15.593125698509771, -70.14060591395138 -15.589235897019543, -70.14526909917622 -15.589235897019543, -70.14760069178865 -15.593125698509771, -70.14526909917622 -15.5970155, -70.14060591395138 -15.5970155, -70.13827432133894 -15.593125698509771))",-15.593125698509771,-70.1429375065638,PUNO,SAN ROMAN,CARACOTO,True,0.0,0.0,Microzona invalida,2025-04-23 12:50:24.585941
