hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_1636,"POLYGON((-76.9239622607903 -12.2405181389006, -76.9262616789138 -12.2366283374104, -76.9308605151607 -12.2366283374104, -76.9331599332842 -12.2405181389006, -76.9308605151607 -12.2444079403909, -76.9262616789138 -12.2444079403909, -76.9239622607903 -12.2405181389006))",-12.24051814,-76.9285611,LIMA,LIMA,LIMA,TRUE,53,54,Microzona invalida,2025-03-11 5:01:52
zona_1637,"POLYGON((-76.91706400642 -12.2444079403909, -76.9193634245434 -12.2405181389006, -76.9239622607903 -12.2405181389006, -76.9262616789138 -12.2444079403909, -76.9239622607903 -12.2482977418811, -76.9193634245434 -12.2482977418811, -76.91706400642 -12.2444079403909))",-12.24440794,-76.92166284,LIMA,LIMA,LIMA,TRUE,53,54,Microzona invalida,2025-03-11 5:01:52
zona_1638,"POLYGON((-76.9101657520496 -12.2405181389006, -76.912465170173 -12.2366283374104, -76.91706400642 -12.2366283374104, -76.9193634245434 -12.2405181389006, -76.91706400642 -12.2444079403909, -76.912465170173 -12.2444079403909, -76.9101657520496 -12.2405181389006))",-12.24051814,-76.91476459,LIMA,LIMA,LIMA,TRUE,53,54,Microzona invalida,2025-03-11 5:01:52
zona_1714,"POLYGON((-76.9377587695311 -12.2327385359202, -76.9400581876545 -12.22884873443, -76.9446570239014 -12.22884873443, -76.9469564420249 -12.2327385359202, -76.9446570239014 -12.2366283374104, -76.9400581876545 -12.2366283374104, -76.9377587695311 -12.2327385359202))",-12.23273854,-76.94235761,LIMA,LIMA,LIMA,TRUE,53,54,No se pudieron encontrar las tiendas solicitadas,2025-03-11 5:01:52
zona_1715,"POLYGON((-76.9308605151607 -12.2366283374104, -76.9331599332841 -12.2327385359202, -76.9377587695311 -12.2327385359202, -76.9400581876545 -12.2366283374104, -76.9377587695311 -12.2405181389006, -76.9331599332841 -12.2405181389006, -76.9308605151607 -12.2366283374104))",-12.23662834,-76.93545935,LIMA,LIMA,LIMA,TRUE,53,54,No se pudieron encontrar las tiendas solicitadas,2025-03-11 5:01:52
zona_1717,"POLYGON((-76.91706400642 -12.2366283374104, -76.9193634245434 -12.2327385359202, -76.9239622607903 -12.2327385359202, -76.9262616789138 -12.2366283374104, -76.9239622607903 -12.2405181389006, -76.9193634245434 -12.2405181389006, -76.91706400642 -12.2366283374104))",-12.23662834,-76.92166284,LIMA,LIMA,LIMA,TRUE,53,54,Microzona invalida,2025-03-11 5:01:52
zona_1718,"POLYGON((-76.9101657520496 -12.2327385359202, -76.912465170173 -12.22884873443, -76.91706400642 -12.22884873443, -76.9193634245434 -12.2327385359202, -76.91706400642 -12.2366283374104, -76.912465170173 -12.2366283374104, -76.9101657520496 -12.2327385359202))",-12.23273854,-76.91476459,LIMA,LIMA,LIMA,TRUE,53,54,Microzona invalida,2025-03-11 5:01:52
zona_1719,"POLYGON((-76.9032674976793 -12.2366283374104, -76.9055669158027 -12.2327385359202, -76.9101657520496 -12.2327385359202, -76.9124651701731 -12.2366283374104, -76.9101657520496 -12.2405181389006, -76.9055669158027 -12.2405181389006, -76.9032674976793 -12.2366283374104))",-12.23662834,-76.90786633,LIMA,LIMA,LIMA,TRUE,53,54,Microzona invalida,2025-03-11 5:01:52
zona_1726,"POLYGON((-76.8549797170867 -12.2327385359202, -76.8572791352101 -12.22884873443, -76.861877971457 -12.22884873443, -76.8641773895805 -12.2327385359202, -76.861877971457 -12.2366283374104, -76.8572791352101 -12.2366283374104, -76.8549797170867 -12.2327385359202))",-12.23273854,-76.85957855,LIMA,LIMA,LIMA,TRUE,53,97,Microzona invalida,2025-03-11 5:01:52
zona_1794,"POLYGON((-76.9377587695311 -12.2249589329397, -76.9400581876545 -12.2210691314495, -76.9446570239014 -12.2210691314495, -76.9469564420249 -12.2249589329397, -76.9446570239014 -12.22884873443, -76.9400581876545 -12.22884873443, -76.9377587695311 -12.2249589329397))",-12.22495893,-76.94235761,LIMA,LIMA,LIMA,TRUE,53,54,No se pudieron encontrar las tiendas solicitadas,2025-03-11 5:01:52
zona_1795,"POLYGON((-76.9308605151607 -12.22884873443, -76.9331599332841 -12.2249589329397, -76.9377587695311 -12.2249589329397, -76.9400581876545 -12.22884873443, -76.9377587695311 -12.2327385359202, -76.9331599332841 -12.2327385359202, -76.9308605151607 -12.22884873443))",-12.22884873,-76.93545935,LIMA,LIMA,LIMA,TRUE,53,54,No se pudieron encontrar las tiendas solicitadas,2025-03-11 5:01:52
zona_1796,"POLYGON((-76.9239622607903 -12.2249589329397, -76.9262616789138 -12.2210691314495, -76.9308605151607 -12.2210691314495, -76.9331599332842 -12.2249589329397, -76.9308605151607 -12.22884873443, -76.9262616789138 -12.22884873443, -76.9239622607903 -12.2249589329397))",-12.22495893,-76.9285611,LIMA,LIMA,LIMA,TRUE,53,54,No se pudieron encontrar las tiendas solicitadas,2025-03-11 5:01:52
zona_1797,"POLYGON((-76.91706400642 -12.22884873443, -76.9193634245434 -12.2249589329397, -76.9239622607903 -12.2249589329397, -76.9262616789138 -12.22884873443, -76.9239622607903 -12.2327385359202, -76.9193634245434 -12.2327385359202, -76.91706400642 -12.22884873443))",-12.22884873,-76.92166284,LIMA,LIMA,LIMA,TRUE,53,54,No se pudieron encontrar las tiendas solicitadas,2025-03-11 5:01:52
