hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-80.76643199022328 -4.951375834, -80.76868618011164 -4.947486032509772, -80.77319455988837 -4.947486032509772, -80.77544874977673 -4.951375834, -80.77319455988837 -4.955265635490228, -80.76868618011164 -4.955265635490228, -80.76643199022328 -4.951375834))",-4.951375834,-80.77094037,PIURA,SULLANA,MIGUEL CHECA,True,0,0,Microzona invalida,2025-04-23 15:09:36.227986
zona_000002,"POLYGON ((-80.75966944706389 -4.947486032509772, -80.76192362369942 -4.943596231019544, -80.76643197697045 -4.943596231019544, -80.76868615360598 -4.947486032509772, -80.76643197697045 -4.951375834, -80.76192362369942 -4.951375834, -80.75966944706389 -4.947486032509772))",-4.947486032509772,-80.76417780033493,PIURA,SULLANA,MIGUEL CHECA,True,0,0,Microzona invalida,2025-04-23 15:09:36.227986
zona_000003,"POLYGON ((-80.75290685089313 -4.951375834, -80.75516104078149 -4.947486032509772, -80.75966942055821 -4.947486032509772, -80.76192361044657 -4.951375834, -80.75966942055821 -4.955265635490228, -80.75516104078149 -4.955265635490228, -80.75290685089313 -4.951375834))",-4.951375834,-80.75741523066985,PIURA,SULLANA,MIGUEL CHECA,True,0,0,Microzona invalida,2025-04-23 15:09:36.227986
zona_000004,"POLYGON ((-80.74614430773373 -4.947486032509772, -80.74839848436926 -4.943596231019544, -80.7529068376403 -4.943596231019544, -80.75516101427583 -4.947486032509772, -80.7529068376403 -4.951375834, -80.74839848436926 -4.951375834, -80.74614430773373 -4.947486032509772))",-4.947486032509772,-80.75065266100478,PIURA,SULLANA,MIGUEL CHECA,True,0,0,Microzona invalida,2025-04-23 15:09:36.227986
zona_000005,"POLYGON ((-80.73938171156298 -4.951375834, -80.74163590145135 -4.947486032509772, -80.74614428122807 -4.947486032509772, -80.74839847111643 -4.951375834, -80.74614428122807 -4.955265635490228, -80.74163590145135 -4.955265635490228, -80.73938171156298 -4.951375834))",-4.951375834,-80.74389009133971,PIURA,SULLANA,MIGUEL CHECA,True,0,0,Microzona invalida,2025-04-23 15:09:36.227986
zona_000006,"POLYGON ((-80.73261916840357 -4.947486032509772, -80.7348733450391 -4.943596231019544, -80.73938169831014 -4.943596231019544, -80.74163587494567 -4.947486032509772, -80.73938169831014 -4.951375834, -80.7348733450391 -4.951375834, -80.73261916840357 -4.947486032509772))",-4.947486032509772,-80.73712752167462,PIURA,SULLANA,MIGUEL CHECA,True,0,0,Microzona invalida,2025-04-23 15:09:36.227986
zona_000007,"POLYGON ((-80.72585657223283 -4.951375834, -80.72811076212119 -4.947486032509772, -80.73261914189791 -4.947486032509772, -80.73487333178628 -4.951375834, -80.73261914189791 -4.955265635490228, -80.72811076212119 -4.955265635490228, -80.72585657223283 -4.951375834))",-4.951375834,-80.73036495200955,PIURA,SULLANA,MIGUEL CHECA,True,0,0,Microzona invalida,2025-04-23 15:09:36.227986
zona_000008,"POLYGON ((-80.71909402907342 -4.947486032509772, -80.72134820570895 -4.943596231019544, -80.72585655897998 -4.943596231019544, -80.72811073561552 -4.947486032509772, -80.72585655897998 -4.951375834, -80.72134820570895 -4.951375834, -80.71909402907342 -4.947486032509772))",-4.947486032509772,-80.72360238234447,PIURA,SULLANA,MIGUEL CHECA,True,0,0,Microzona invalida,2025-04-23 15:09:36.227986
zona_000009,"POLYGON ((-80.71233143290267 -4.951375834, -80.71458562279103 -4.947486032509772, -80.71909400256776 -4.947486032509772, -80.72134819245612 -4.951375834, -80.71909400256776 -4.955265635490228, -80.71458562279103 -4.955265635490228, -80.71233143290267 -4.951375834))",-4.951375834,-80.7168398126794,PIURA,SULLANA,MIGUEL CHECA,True,0,0,Microzona invalida,2025-04-23 15:09:36.227986
zona_000010,"POLYGON ((-80.70556888974328 -4.947486032509772, -80.70782306637881 -4.943596231019544, -80.71233141964984 -4.943596231019544, -80.71458559628537 -4.947486032509772, -80.71233141964984 -4.951375834, -80.70782306637881 -4.951375834, -80.70556888974328 -4.947486032509772))",-4.947486032509772,-80.71007724301433,PIURA,SULLANA,MIGUEL CHECA,True,0,0,Microzona invalida,2025-04-23 15:09:36.227986
