hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-70.30346607420174 -18.08283478, -70.30582853710087 -18.07894497850977, -70.31055346289912 -18.07894497850977, -70.31291592579825 -18.08283478, -70.31055346289912 -18.086724581490227, -70.30582853710087 -18.086724581490227, -70.30346607420174 -18.08283478))",-18.08283478,-70.308191,TACNA,TACNA,TACNA,True,0,0,Microzona invalida,2025-04-23 15:17:57.151416
zona_000002,"POLYGON ((-70.29637879023005 -18.07894497850977, -70.29874120076633 -18.075055177019543, -70.30346602183889 -18.075055177019543, -70.30582843237516 -18.07894497850977, -70.30346602183889 -18.08283478, -70.29874120076633 -18.08283478, -70.29637879023005 -18.07894497850977))",-18.07894497850977,-70.30110361130261,TACNA,TACNA,TACNA,True,0,0,Microzona invalida,2025-04-23 15:17:57.151416
zona_000003,"POLYGON ((-70.28929129680698 -18.08283478, -70.29165375970611 -18.07894497850977, -70.29637868550437 -18.07894497850977, -70.2987411484035 -18.08283478, -70.29637868550437 -18.086724581490227, -70.29165375970611 -18.086724581490227, -70.28929129680698 -18.08283478))",-18.08283478,-70.29401622260524,TACNA,TACNA,TACNA,True,0,0,Microzona invalida,2025-04-23 15:17:57.151416
zona_000004,"POLYGON ((-70.2822040128353 -18.07894497850977, -70.28456642337157 -18.075055177019543, -70.28929124444413 -18.075055177019543, -70.29165365498041 -18.07894497850977, -70.28929124444413 -18.08283478, -70.28456642337157 -18.08283478, -70.2822040128353 -18.07894497850977))",-18.07894497850977,-70.28692883390785,TACNA,TACNA,TACNA,True,0,0,Microzona invalida,2025-04-23 15:17:57.151416
zona_000005,"POLYGON ((-70.27511651941222 -18.08283478, -70.27747898231135 -18.07894497850977, -70.28220390810961 -18.07894497850977, -70.28456637100874 -18.08283478, -70.28220390810961 -18.086724581490227, -70.27747898231135 -18.086724581490227, -70.27511651941222 -18.08283478))",-18.08283478,-70.27984144521048,TACNA,TACNA,TACNA,True,0,0,Microzona invalida,2025-04-23 15:17:57.151416
zona_000006,"POLYGON ((-70.26802923544054 -18.07894497850977, -70.27039164597682 -18.075055177019543, -70.27511646704937 -18.075055177019543, -70.27747887758565 -18.07894497850977, -70.27511646704937 -18.08283478, -70.27039164597682 -18.08283478, -70.26802923544054 -18.07894497850977))",-18.07894497850977,-70.2727540565131,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,True,0,0,Microzona invalida,2025-04-23 15:17:57.151416
zona_000007,"POLYGON ((-70.26094174201747 -18.08283478, -70.2633042049166 -18.07894497850977, -70.26802913071485 -18.07894497850977, -70.27039159361398 -18.08283478, -70.26802913071485 -18.086724581490227, -70.2633042049166 -18.086724581490227, -70.26094174201747 -18.08283478))",-18.08283478,-70.26566666781572,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,True,0,0,Microzona invalida,2025-04-23 15:17:57.151416
zona_000008,"POLYGON ((-70.25385445804578 -18.07894497850977, -70.25621686858206 -18.075055177019543, -70.26094168965462 -18.075055177019543, -70.2633041001909 -18.07894497850977, -70.26094168965462 -18.08283478, -70.25621686858206 -18.08283478, -70.25385445804578 -18.07894497850977))",-18.07894497850977,-70.25857927911834,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,True,0,0,Microzona invalida,2025-04-23 15:17:57.151416
zona_000009,"POLYGON ((-70.24676696462271 -18.08283478, -70.24912942752184 -18.07894497850977, -70.2538543533201 -18.07894497850977, -70.25621681621922 -18.08283478, -70.2538543533201 -18.086724581490227, -70.24912942752184 -18.086724581490227, -70.24676696462271 -18.08283478))",-18.08283478,-70.25149189042097,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,True,0,0,Microzona invalida,2025-04-23 15:17:57.151416
zona_000010,"POLYGON ((-70.23967968065102 -18.07894497850977, -70.2420420911873 -18.075055177019543, -70.24676691225986 -18.075055177019543, -70.24912932279614 -18.07894497850977, -70.24676691225986 -18.08283478, -70.2420420911873 -18.08283478, -70.23967968065102 -18.07894497850977))",-18.07894497850977,-70.24440450172358,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,True,0,0,Microzona invalida,2025-04-23 15:17:57.151416
