hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000003,"POLYGON ((-81.28792227034388 -4.617656, -81.29017536155091 -4.613766198509772, -81.29468154396493 -4.613766198509772, -81.29693463517195 -4.617656, -81.29468154396493 -4.621545801490228, -81.29017536155091 -4.621545801490228, -81.28792227034388 -4.617656))",-4.617656,-81.29242845275792,PIURA,TALARA,LA BREA,True,0,0,Microzona invalida,2025-04-23 15:25:27.209027
zona_000004,"POLYGON ((-81.28116302142128 -4.613766198509772, -81.28341610027907 -4.609876397019544, -81.28792225799468 -4.609876397019544, -81.29017533685247 -4.613766198509772, -81.28792225799468 -4.617656, -81.28341610027907 -4.617656, -81.28116302142128 -4.613766198509772))",-4.613766198509772,-81.28566917913687,PIURA,TALARA,LA BREA,True,0,0,Microzona invalida,2025-04-23 15:25:27.209027
zona_000005,"POLYGON ((-81.2744037231018 -4.617656, -81.27665681430882 -4.613766198509772, -81.28116299672284 -4.613766198509772, -81.28341608792987 -4.617656, -81.28116299672284 -4.621545801490228, -81.27665681430882 -4.621545801490228, -81.2744037231018 -4.617656))",-4.617656,-81.27890990551583,PIURA,TALARA,LA BREA,True,0,0,Microzona invalida,2025-04-23 15:25:27.209027
zona_000006,"POLYGON ((-81.26764447417919 -4.613766198509772, -81.26989755303698 -4.609876397019544, -81.2744037107526 -4.609876397019544, -81.27665678961039 -4.613766198509772, -81.2744037107526 -4.617656, -81.26989755303698 -4.617656, -81.26764447417919 -4.613766198509772))",-4.613766198509772,-81.27215063189479,PIURA,TALARA,LA BREA,True,0,0,Microzona invalida,2025-04-23 15:25:27.209027
zona_000007,"POLYGON ((-81.2608851758597 -4.617656, -81.26313826706672 -4.613766198509772, -81.26764444948074 -4.613766198509772, -81.26989754068777 -4.617656, -81.26764444948074 -4.621545801490228, -81.26313826706672 -4.621545801490228, -81.2608851758597 -4.617656))",-4.617656,-81.26539135827373,PIURA,TALARA,LA BREA,True,0,0,Microzona invalida,2025-04-23 15:25:27.209027
zona_000008,"POLYGON ((-81.25412592693709 -4.613766198509772, -81.25637900579488 -4.609876397019544, -81.2608851635105 -4.609876397019544, -81.26313824236829 -4.613766198509772, -81.2608851635105 -4.617656, -81.25637900579488 -4.617656, -81.25412592693709 -4.613766198509772))",-4.613766198509772,-81.25863208465269,PIURA,TALARA,LA BREA,True,0,0,Microzona invalida,2025-04-23 15:25:27.209027
zona_000009,"POLYGON ((-81.24736662861761 -4.617656, -81.24961971982464 -4.613766198509772, -81.25412590223866 -4.613766198509772, -81.25637899344568 -4.617656, -81.25412590223866 -4.621545801490228, -81.24961971982464 -4.621545801490228, -81.24736662861761 -4.617656))",-4.617656,-81.25187281103165,PIURA,TALARA,LA BREA,True,0,0,Microzona invalida,2025-04-23 15:25:27.209027
zona_000010,"POLYGON ((-81.240607379695 -4.613766198509772, -81.2428604585528 -4.609876397019544, -81.24736661626841 -4.609876397019544, -81.2496196951262 -4.613766198509772, -81.24736661626841 -4.617656, -81.2428604585528 -4.617656, -81.240607379695 -4.613766198509772))",-4.613766198509772,-81.2451135374106,PIURA,TALARA,LA BREA,True,0,0,Microzona invalida,2025-04-23 15:25:27.209027
zona_000011,"POLYGON ((-81.23384808137553 -4.617656, -81.23610117258255 -4.613766198509772, -81.24060735499657 -4.613766198509772, -81.2428604462036 -4.617656, -81.24060735499657 -4.621545801490228, -81.23610117258255 -4.621545801490228, -81.23384808137553 -4.617656))",-4.617656,-81.23835426378956,PIURA,TALARA,LA BREA,True,0,0,Microzona invalida,2025-04-23 15:25:27.209027
zona_000012,"POLYGON ((-81.22708883245292 -4.613766198509772, -81.22934191131071 -4.609876397019544, -81.23384806902632 -4.609876397019544, -81.23610114788411 -4.613766198509772, -81.23384806902632 -4.617656, -81.22934191131071 -4.617656, -81.22708883245292 -4.613766198509772))",-4.613766198509772,-81.23159499016852,PIURA,TALARA,LA BREA,True,0,0,Microzona invalida,2025-04-23 15:25:27.209027
