zone_name,geometry,ccdd,nombdep,ccpp,nombprov,ccdi,nombdist,capital,ubigeo,idprov,codigo,cnt_ccpp,descripcio,poblacion,fecha,dat_pob,pobreza,internet_access,edad,tam,rmapshaperid
zona_016,"POLYGON ((-12.242220397019544 -76.9539785696655, -12.234440794039088 -76.95857464062203, -12.234440794039088 -76.96776678253508, -12.242220397019544 -76.97236285349162, -12.25 -76.96776678253508, -12.25 -76.95857464062203, -12.242220397019544 -76.9539785696655))",15,LIMA,1,LIMA,42,VILLA EL SALVADOR,VILLA EL SALVADOR,150142,1501,150142,1,VILLA EL SALVADOR,429509,2020,INEI,20.15,80.2,80.0,220046,227
zona_017,"POLYGON ((-12.25 -76.94018967953173, -12.242220397019544 -76.9447858859411, -12.242220397019544 -76.95397829875982, -12.25 -76.9585745051692, -12.257779602980456 -76.95397829875982, -12.257779602980456 -76.9447858859411, -12.25 -76.94018967953173))",15,LIMA,1,LIMA,42,VILLA EL SALVADOR,VILLA EL SALVADOR,150142,1501,150142,1,VILLA EL SALVADOR,429509,2020,INEI,20.15,80.2,80.0,220046,227
zona_018,"POLYGON ((-12.242220397019544 -76.9264013312093, -12.234440794039088 -76.93099740216584, -12.234440794039088 -76.94018954407889, -12.242220397019544 -76.94478561503543, -12.25 -76.94018954407889, -12.25 -76.93099740216584, -12.242220397019544 -76.9264013312093))",15,LIMA,1,LIMA,19,LURIN,LURIN,150119,1501,150119,4,LURIN,99846,2020,INEI,18.3,80.2,80.0,52338,1507
zona_018,"POLYGON ((-12.242220397019544 -76.9264013312093, -12.234440794039088 -76.93099740216584, -12.234440794039088 -76.94018954407889, -12.242220397019544 -76.94478561503543, -12.25 -76.94018954407889, -12.25 -76.93099740216584, -12.242220397019544 -76.9264013312093))",15,LIMA,1,LIMA,42,VILLA EL SALVADOR,VILLA EL SALVADOR,150142,1501,150142,1,VILLA EL SALVADOR,429509,2020,INEI,20.15,80.2,80.0,220046,227
zona_019,"POLYGON ((-12.25 -76.91261244107554, -12.242220397019544 -76.91720864748491, -12.242220397019544 -76.92640106030363, -12.25 -76.930997266713, -12.257779602980456 -76.92640106030363, -12.257779602980456 -76.91720864748491, -12.25 -76.91261244107554))",15,LIMA,1,LIMA,19,LURIN,LURIN,150119,1501,150119,4,LURIN,99846,2020,INEI,18.3,80.2,80.0,52338,1507
zona_019,"POLYGON ((-12.25 -76.91261244107554, -12.242220397019544 -76.91720864748491, -12.242220397019544 -76.92640106030363, -12.25 -76.930997266713, -12.257779602980456 -76.92640106030363, -12.257779602980456 -76.91720864748491, -12.25 -76.91261244107554))",15,LIMA,1,LIMA,42,VILLA EL SALVADOR,VILLA EL SALVADOR,150142,1501,150142,1,VILLA EL SALVADOR,429509,2020,INEI,20.15,80.2,80.0,220046,227
zona_020,"POLYGON ((-12.242220397019544 -76.8988240927531, -12.234440794039088 -76.90342016370964, -12.234440794039088 -76.91261230562269, -12.242220397019544 -76.91720837657923, -12.25 -76.91261230562269, -12.25 -76.90342016370964, -12.242220397019544 -76.8988240927531))",15,LIMA,1,LIMA,19,LURIN,LURIN,150119,1501,150119,4,LURIN,99846,2020,INEI,18.3,80.2,80.0,52338,1507
zona_020,"POLYGON ((-12.242220397019544 -76.8988240927531, -12.234440794039088 -76.90342016370964, -12.234440794039088 -76.91261230562269, -12.242220397019544 -76.91720837657923, -12.25 -76.91261230562269, -12.25 -76.90342016370964, -12.242220397019544 -76.8988240927531))",15,LIMA,1,LIMA,42,VILLA EL SALVADOR,VILLA EL SALVADOR,150142,1501,150142,1,VILLA EL SALVADOR,429509,2020,INEI,20.15,80.2,80.0,220046,227
zona_021,"POLYGON ((-12.25 -76.88503520261933, -12.242220397019544 -76.88963140902871, -12.242220397019544 -76.89882382184743, -12.25 -76.9034200282568, -12.257779602980456 -76.89882382184743, -12.257779602980456 -76.88963140902871, -12.25 -76.88503520261933))",15,LIMA,1,LIMA,19,LURIN,LURIN,150119,1501,150119,4,LURIN,99846,2020,INEI,18.3,80.2,80.0,52338,1507
zona_022,"POLYGON ((-12.242220397019544 -76.87124685429691, -12.234440794039088 -76.87584292525345, -12.234440794039088 -76.8850350671665, -12.242220397019544 -76.88963113812304, -12.25 -76.8850350671665, -12.25 -76.87584292525345, -12.242220397019544 -76.87124685429691))",15,LIMA,1,LIMA,19,LURIN,LURIN,150119,1501,150119,4,LURIN,99846,2020,INEI,18.3,80.2,80.0,52338,1507
