zone_name,geometry
zona_001,"POLYGON((-77.16080758718127 -12.25, -77.16540379359064 -12.242220397019544, -77.17459620640936 -12.242220397019544, -77.17919241281874 -12.25, -77.17459620640936 -12.257779602980456, -77.16540379359064 -12.257779602980456, -77.16080758718127 -12.25))"
zona_002,"POLYGON((-77.14701923885885 -12.242220397019544, -77.15161530981538 -12.234440794039088, -77.16080745172843 -12.234440794039088, -77.16540352268497 -12.242220397019544, -77.16080745172843 -12.25, -77.15161530981538 -12.25, -77.14701923885885 -12.242220397019544))"
zona_003,"POLYGON((-77.13323034872508 -12.25, -77.13782655513445 -12.242220397019544, -77.14701896795317 -12.242220397019544, -77.15161517436255 -12.25, -77.14701896795317 -12.257779602980456, -77.13782655513445 -12.257779602980456, -77.13323034872508 -12.25))"
zona_004,"POLYGON((-77.11944200040266 -12.242220397019544, -77.1240380713592 -12.234440794039088, -77.13323021327224 -12.234440794039088, -77.13782628422878 -12.242220397019544, -77.13323021327224 -12.25, -77.1240380713592 -12.25, -77.11944200040266 -12.242220397019544))"
zona_005,"POLYGON((-77.10565311026888 -12.25, -77.11024931667825 -12.242220397019544, -77.11944172949697 -12.242220397019544, -77.12403793590634 -12.25, -77.11944172949697 -12.257779602980456, -77.11024931667825 -12.257779602980456, -77.10565311026888 -12.25))"
zona_006,"POLYGON((-77.09186476194645 -12.242220397019544, -77.09646083290299 -12.234440794039088, -77.10565297481604 -12.234440794039088, -77.11024904577258 -12.242220397019544, -77.10565297481604 -12.25, -77.09646083290299 -12.25, -77.09186476194645 -12.242220397019544))"
zona_007,"POLYGON((-77.07807587181269 -12.25, -77.08267207822206 -12.242220397019544, -77.09186449104078 -12.242220397019544, -77.09646069745015 -12.25, -77.09186449104078 -12.257779602980456, -77.08267207822206 -12.257779602980456, -77.07807587181269 -12.25))"
zona_008,"POLYGON((-77.06428752349026 -12.242220397019544, -77.0688835944468 -12.234440794039088, -77.07807573635985 -12.234440794039088, -77.08267180731639 -12.242220397019544, -77.07807573635985 -12.25, -77.0688835944468 -12.25, -77.06428752349026 -12.242220397019544))"
zona_009,"POLYGON((-77.0504986333565 -12.25, -77.05509483976587 -12.242220397019544, -77.06428725258459 -12.242220397019544, -77.06888345899397 -12.25, -77.06428725258459 -12.257779602980456, -77.05509483976587 -12.257779602980456, -77.0504986333565 -12.25))"
zona_010,"POLYGON((-77.03671028503408 -12.242220397019544, -77.04130635599061 -12.234440794039088, -77.05049849790366 -12.234440794039088, -77.0550945688602 -12.242220397019544, -77.05049849790366 -12.25, -77.04130635599061 -12.25, -77.03671028503408 -12.242220397019544))"
zona_011,"POLYGON((-77.02292139490031 -12.25, -77.02751760130968 -12.242220397019544, -77.0367100141284 -12.242220397019544, -77.04130622053778 -12.25, -77.0367100141284 -12.257779602980456, -77.02751760130968 -12.257779602980456, -77.02292139490031 -12.25))"
zona_012,"POLYGON((-77.00913304657787 -12.242220397019544, -77.01372911753441 -12.234440794039088, -77.02292125944746 -12.234440794039088, -77.027517330404 -12.242220397019544, -77.02292125944746 -12.25, -77.01372911753441 -12.25, -77.00913304657787 -12.242220397019544))"
zona_013,"POLYGON((-76.9953441564441 -12.25, -76.99994036285348 -12.242220397019544, -77.0091327756722 -12.242220397019544, -77.01372898208157 -12.25, -77.0091327756722 -12.257779602980456, -76.99994036285348 -12.257779602980456, -76.9953441564441 -12.25))"
zona_014,"POLYGON((-76.98155580812168 -12.242220397019544, -76.98615187907822 -12.234440794039088, -76.99534402099127 -12.234440794039088, -76.9999400919478 -12.242220397019544, -76.99534402099127 -12.25, -76.98615187907822 -12.25, -76.98155580812168 -12.242220397019544))"
zona_015,"POLYGON((-76.96776691798792 -12.25, -76.97236312439729 -12.242220397019544, -76.98155553721601 -12.242220397019544, -76.98615174362538 -12.25, -76.98155553721601 -12.257779602980456, -76.97236312439729 -12.257779602980456, -76.96776691798792 -12.25))"
zona_016,"POLYGON((-76.9539785696655 -12.242220397019544, -76.95857464062203 -12.234440794039088, -76.96776678253508 -12.234440794039088, -76.97236285349162 -12.242220397019544, -76.96776678253508 -12.25, -76.95857464062203 -12.25, -76.9539785696655 -12.242220397019544))"
zona_017,"POLYGON((-76.94018967953173 -12.25, -76.9447858859411 -12.242220397019544, -76.95397829875982 -12.242220397019544, -76.9585745051692 -12.25, -76.95397829875982 -12.257779602980456, -76.9447858859411 -12.257779602980456, -76.94018967953173 -12.25))"
zona_018,"POLYGON((-76.9264013312093 -12.242220397019544, -76.93099740216584 -12.234440794039088, -76.94018954407889 -12.234440794039088, -76.94478561503543 -12.242220397019544, -76.94018954407889 -12.25, -76.93099740216584 -12.25, -76.9264013312093 -12.242220397019544))"
zona_019,"POLYGON((-76.91261244107554 -12.25, -76.91720864748491 -12.242220397019544, -76.92640106030363 -12.242220397019544, -76.930997266713 -12.25, -76.92640106030363 -12.257779602980456, -76.91720864748491 -12.257779602980456, -76.91261244107554 -12.25))"
zona_020,"POLYGON((-76.8988240927531 -12.242220397019544, -76.90342016370964 -12.234440794039088, -76.91261230562269 -12.234440794039088, -76.91720837657923 -12.242220397019544, -76.91261230562269 -12.25, -76.90342016370964 -12.25, -76.8988240927531 -12.242220397019544))"
zona_021,"POLYGON((-76.88503520261933 -12.25, -76.88963140902871 -12.242220397019544, -76.89882382184743 -12.242220397019544, -76.9034200282568 -12.25, -76.89882382184743 -12.257779602980456, -76.88963140902871 -12.257779602980456, -76.88503520261933 -12.25))"
zona_022,"POLYGON((-76.87124685429691 -12.242220397019544, -76.87584292525345 -12.234440794039088, -76.8850350671665 -12.234440794039088, -76.88963113812304 -12.242220397019544, -76.8850350671665 -12.25, -76.87584292525345 -12.25, -76.87124685429691 -12.242220397019544))"
zona_023,"POLYGON((-76.85745796416315 -12.25, -76.86205417057252 -12.242220397019544, -76.87124658339124 -12.242220397019544, -76.87584278980061 -12.25, -76.87124658339124 -12.257779602980456, -76.86205417057252 -12.257779602980456, -76.85745796416315 -12.25))"
zona_024,"POLYGON((-76.84366961584072 -12.242220397019544, -76.84826568679726 -12.234440794039088, -76.85745782871031 -12.234440794039088, -76.86205389966685 -12.242220397019544, -76.85745782871031 -12.25, -76.84826568679726 -12.25, -76.84366961584072 -12.242220397019544))"
zona_025,"POLYGON((-76.82988072570696 -12.25, -76.83447693211633 -12.242220397019544, -76.84366934493505 -12.242220397019544, -76.84826555134443 -12.25, -76.84366934493505 -12.257779602980456, -76.83447693211633 -12.257779602980456, -76.82988072570696 -12.25))"
zona_026,"POLYGON((-77.16080812880719 -12.234440794039086, -77.1654040644036 -12.22666119105863, -77.1745959355964 -12.22666119105863, -77.17919187119281 -12.234440794039086, -77.1745959355964 -12.242220397019542, -77.1654040644036 -12.242220397019542, -77.16080812880719 -12.234440794039086))"
zona_027,"POLYGON((-77.14701978011395 -12.22666119105863, -77.15161558044294 -12.218881588078174, -77.16080718110088 -12.218881588078174, -77.16540298142986 -12.22666119105863, -77.16080718110088 -12.234440794039086, -77.15161558044294 -12.234440794039086, -77.14701978011395 -12.22666119105863))"
zona_028,"POLYGON((-77.133230890351 -12.234440794039086, -77.13782682594741 -12.22666119105863, -77.14701869714021 -12.22666119105863, -77.15161463273662 -12.234440794039086, -77.14701869714021 -12.242220397019542, -77.13782682594741 -12.242220397019542, -77.133230890351 -12.234440794039086))"
