hexagono_id,hexagono_shape,centroid_lat,centroid_lon
zona_000001,"POLYGON ((-71.55060593268435 -17.01, -71.55530296634218 -17.002220397019546, -71.56469703365782 -17.002220397019546, -71.56939406731566 -17.01, -71.56469703365782 -17.017779602980458, -71.55530296634218 -17.017779602980458, -71.55060593268435 -17.01))",-17.01,-71.56
zona_000002,"POLYGON ((-71.53651522181819 -17.002220397019546, -71.54121206042237 -16.99444079403909, -71.55060573763069 -16.99444079403909, -71.55530257623487 -17.002220397019546, -71.55060573763069 -17.01, -71.54121206042237 -17.01, -71.53651522181819 -17.002220397019546))",-17.002220397019546,-71.54590889902653
zona_000003,"POLYGON ((-71.52242373073739 -17.01, -71.52712076439522 -17.002220397019546, -71.53651483171086 -17.002220397019546, -71.5412118653687 -17.01, -71.53651483171086 -17.017779602980458, -71.52712076439522 -17.017779602980458, -71.52242373073739 -17.01))",-17.01,-71.53181779805304
zona_000004,"POLYGON ((-71.50833301987123 -17.002220397019546, -71.5130298584754 -16.99444079403909, -71.52242353568373 -16.99444079403909, -71.5271203742879 -17.002220397019546, -71.52242353568373 -17.01, -71.5130298584754 -17.01, -71.50833301987123 -17.002220397019546))",-17.002220397019546,-71.51772669707957
zona_000005,"POLYGON ((-71.49424152879044 -17.01, -71.49893856244827 -17.002220397019546, -71.50833262976391 -17.002220397019546, -71.51302966342175 -17.01, -71.50833262976391 -17.017779602980458, -71.49893856244827 -17.017779602980458, -71.49424152879044 -17.01))",-17.01,-71.5036355961061
zona_000006,"POLYGON ((-71.48015081792427 -17.002220397019546, -71.48484765652844 -16.99444079403909, -71.49424133373677 -16.99444079403909, -71.49893817234094 -17.002220397019546, -71.49424133373677 -17.01, -71.48484765652844 -17.01, -71.48015081792427 -17.002220397019546))",-17.002220397019546,-71.4895444951326
zona_000007,"POLYGON ((-71.46605932684348 -17.01, -71.47075636050131 -17.002220397019546, -71.48015042781695 -17.002220397019546, -71.48484746147479 -17.01, -71.48015042781695 -17.017779602980458, -71.47075636050131 -17.017779602980458, -71.46605932684348 -17.01))",-17.01,-71.47545339415913
zona_000008,"POLYGON ((-71.45196861597732 -17.002220397019546, -71.4566654545815 -16.99444079403909, -71.46605913178982 -16.99444079403909, -71.470755970394 -17.002220397019546, -71.46605913178982 -17.01, -71.4566654545815 -17.01, -71.45196861597732 -17.002220397019546))",-17.002220397019546,-71.46136229318566
zona_000009,"POLYGON ((-71.43787712489652 -17.01, -71.44257415855435 -17.002220397019546, -71.45196822586999 -17.002220397019546, -71.45666525952782 -17.01, -71.45196822586999 -17.017779602980458, -71.44257415855435 -17.017779602980458, -71.43787712489652 -17.01))",-17.01,-71.44727119221217
zona_000010,"POLYGON ((-71.42378641403036 -17.002220397019546, -71.42848325263454 -16.99444079403909, -71.43787692984286 -16.99444079403909, -71.44257376844703 -17.002220397019546, -71.43787692984286 -17.01, -71.42848325263454 -17.01, -71.42378641403036 -17.002220397019546))",-17.002220397019546,-71.4331800912387
zona_000011,"POLYGON ((-71.40969492294957 -17.01, -71.4143919566074 -17.002220397019546, -71.42378602392304 -17.002220397019546, -71.42848305758088 -17.01, -71.42378602392304 -17.017779602980458, -71.4143919566074 -17.017779602980458, -71.40969492294957 -17.01))",-17.01,-71.41908899026522
zona_000012,"POLYGON ((-71.3956042120834 -17.002220397019546, -71.40030105068757 -16.99444079403909, -71.4096947278959 -16.99444079403909, -71.41439156650007 -17.002220397019546, -71.4096947278959 -17.01, -71.40030105068757 -17.01, -71.3956042120834 -17.002220397019546))",-17.002220397019546,-71.40499788929174
zona_000013,"POLYGON ((-71.38151272100261 -17.01, -71.38620975466044 -17.002220397019546, -71.39560382197608 -17.002220397019546, -71.40030085563392 -17.01, -71.39560382197608 -17.017779602980458, -71.38620975466044 -17.017779602980458, -71.38151272100261 -17.01))",-17.01,-71.39090678831826
zona_000014,"POLYGON ((-71.36742201013645 -17.002220397019546, -71.37211884874063 -16.99444079403909, -71.38151252594895 -16.99444079403909, -71.38620936455312 -17.002220397019546, -71.38151252594895 -17.01, -71.37211884874063 -17.01, -71.36742201013645 -17.002220397019546))",-17.002220397019546,-71.37681568734479
zona_000015,"POLYGON ((-71.35333051905565 -17.01, -71.35802755271348 -17.002220397019546, -71.36742162002912 -17.002220397019546, -71.37211865368695 -17.01, -71.36742162002912 -17.017779602980458, -71.35802755271348 -17.017779602980458, -71.35333051905565 -17.01))",-17.01,-71.3627245863713
zona_000016,"POLYGON ((-71.33923980818949 -17.002220397019546, -71.34393664679367 -16.99444079403909, -71.35333032400199 -16.99444079403909, -71.35802716260616 -17.002220397019546, -71.35333032400199 -17.01, -71.34393664679367 -17.01, -71.33923980818949 -17.002220397019546))",-17.002220397019546,-71.34863348539783
zona_000017,"POLYGON ((-71.3251483171087 -17.01, -71.32984535076653 -17.002220397019546, -71.33923941808217 -17.002220397019546, -71.34393645174 -17.01, -71.33923941808217 -17.017779602980458, -71.32984535076653 -17.017779602980458, -71.3251483171087 -17.01))",-17.01,-71.33454238442435
zona_000018,"POLYGON ((-71.31105760624253 -17.002220397019546, -71.3157544448467 -16.99444079403909, -71.32514812205503 -16.99444079403909, -71.3298449606592 -17.002220397019546, -71.32514812205503 -17.01, -71.3157544448467 -17.01, -71.31105760624253 -17.002220397019546))",-17.002220397019546,-71.32045128345086
zona_000019,"POLYGON ((-71.29696611516174 -17.01, -71.30166314881957 -17.002220397019546, -71.31105721613521 -17.002220397019546, -71.31575424979305 -17.01, -71.31105721613521 -17.017779602980458, -71.30166314881957 -17.017779602980458, -71.29696611516174 -17.01))",-17.01,-71.30636018247739
zona_000020,"POLYGON ((-71.28287540429558 -17.002220397019546, -71.28757224289976 -16.99444079403909, -71.29696592010808 -16.99444079403909, -71.30166275871225 -17.002220397019546, -71.29696592010808 -17.01, -71.28757224289976 -17.01, -71.28287540429558 -17.002220397019546))",-17.002220397019546,-71.29226908150392
zona_000021,"POLYGON ((-71.26878391321478 -17.01, -71.27348094687261 -17.002220397019546, -71.28287501418825 -17.002220397019546, -71.28757204784608 -17.01, -71.28287501418825 -17.017779602980458, -71.27348094687261 -17.017779602980458, -71.26878391321478 -17.01))",-17.01,-71.27817798053043
zona_000022,"POLYGON ((-71.25469320234862 -17.002220397019546, -71.2593900409528 -16.99444079403909, -71.26878371816112 -16.99444079403909, -71.27348055676529 -17.002220397019546, -71.26878371816112 -17.01, -71.2593900409528 -17.01, -71.25469320234862 -17.002220397019546))",-17.002220397019546,-71.26408687955696
zona_000023,"POLYGON ((-71.24060171126783 -17.01, -71.24529874492566 -17.002220397019546, -71.2546928122413 -17.002220397019546, -71.25938984589914 -17.01, -71.2546928122413 -17.017779602980458, -71.24529874492566 -17.017779602980458, -71.24060171126783 -17.01))",-17.01,-71.24999577858348
zona_000024,"POLYGON ((-71.22651100040166 -17.002220397019546, -71.23120783900583 -16.99444079403909, -71.24060151621416 -16.99444079403909, -71.24529835481833 -17.002220397019546, -71.24060151621416 -17.01, -71.23120783900583 -17.01, -71.22651100040166 -17.002220397019546))",-17.002220397019546,-71.23590467761
zona_000025,"POLYGON ((-71.21241950932087 -17.01, -71.2171165429787 -17.002220397019546, -71.22651061029434 -17.002220397019546, -71.23120764395217 -17.01, -71.22651061029434 -17.017779602980458, -71.2171165429787 -17.017779602980458, -71.21241950932087 -17.01))",-17.01,-71.22181357663652
zona_000026,"POLYGON ((-71.55060671269342 -16.99444079403909, -71.55530335634671 -16.986661191058634, -71.56469664365329 -16.986661191058634, -71.56939328730658 -16.99444079403909, -71.56469664365329 -17.002220397019546, -71.55530335634671 -17.002220397019546, -71.55060671269342 -16.99444079403909))",-16.99444079403909,-71.56
