hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi
zona_000405,"POLYGON ((-71.49425391046067 -16.76105270462539, -71.49894475328338 -16.753273101644933, -71.5083264389288 -16.753273101644933, -71.51301728175152 -16.76105270462539, -71.5083264389288 -16.768832307605845, -71.49894475328338 -16.768832307605845, -71.49425391046067 -16.76105270462539))",-16.76105270462539,-71.5036355961061,AREQUIPA,AREQUIPA,YARABAMBA,True,0,0
zona_000406,"POLYGON ((-71.48016319303605 -16.753273101644933, -71.48485384408433 -16.745493498664477, -71.49423514618088 -16.745493498664477, -71.49892579722916 -16.753273101644933, -71.49423514618088 -16.76105270462539, -71.48485384408433 -16.76105270462539, -71.48016319303605 -16.753273101644933))",-16.753273101644933,-71.4895444951326,AREQUIPA,AREQUIPA,YARABAMBA,True,0,0
zona_000407,"POLYGON ((-71.46607170851371 -16.76105270462539, -71.47076255133642 -16.753273101644933, -71.48014423698184 -16.753273101644933, -71.48483507980455 -16.76105270462539, -71.48014423698184 -16.768832307605845, -71.47076255133642 -16.768832307605845, -71.46607170851371 -16.76105270462539))",-16.76105270462539,-71.47545339415913,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000408,"POLYGON ((-71.4519809910891 -16.753273101644933, -71.45667164213738 -16.745493498664477, -71.46605294423394 -16.745493498664477, -71.47074359528222 -16.753273101644933, -71.46605294423394 -16.76105270462539, -71.45667164213738 -16.76105270462539, -71.4519809910891 -16.753273101644933))",-16.753273101644933,-71.46136229318566,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000429,"POLYGON ((-71.5083461614679 -16.737713895684017, -71.51303642927373 -16.72993429270356, -71.52241696488541 -16.72993429270356, -71.52710723269124 -16.737713895684017, -71.52241696488541 -16.745493498664473, -71.51303642927373 -16.745493498664473, -71.5083461614679 -16.737713895684017))",-16.737713895684017,-71.51772669707957,AREQUIPA,AREQUIPA,YARABAMBA,True,0,0
zona_000430,"POLYGON ((-71.4942546773541 -16.745493498664473, -71.4989451367301 -16.737713895684017, -71.50832605548209 -16.737713895684017, -71.51301651485808 -16.745493498664473, -71.50832605548209 -16.75327310164493, -71.4989451367301 -16.75327310164493, -71.4942546773541 -16.745493498664473))",-16.745493498664473,-71.5036355961061,AREQUIPA,AREQUIPA,YARABAMBA,True,0,0
zona_000431,"POLYGON ((-71.48016395952094 -16.737713895684017, -71.48485422732676 -16.72993429270356, -71.49423476293845 -16.72993429270356, -71.49892503074427 -16.737713895684017, -71.49423476293845 -16.745493498664473, -71.48485422732676 -16.745493498664473, -71.48016395952094 -16.737713895684017))",-16.737713895684017,-71.4895444951326,AREQUIPA,AREQUIPA,YARABAMBA,True,0,0
zona_000432,"POLYGON ((-71.46607247540715 -16.745493498664473, -71.47076293478314 -16.737713895684017, -71.48014385353513 -16.737713895684017, -71.48483431291112 -16.745493498664473, -71.48014385353513 -16.75327310164493, -71.47076293478314 -16.75327310164493, -71.46607247540715 -16.745493498664473))",-16.745493498664473,-71.47545339415913,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000433,"POLYGON ((-71.45198175757399 -16.737713895684017, -71.45667202537982 -16.72993429270356, -71.4660525609915 -16.72993429270356, -71.47074282879733 -16.737713895684017, -71.4660525609915 -16.745493498664473, -71.45667202537982 -16.745493498664473, -71.45198175757399 -16.737713895684017))",-16.737713895684017,-71.46136229318566,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000441,"POLYGON ((-71.33925294978616 -16.737713895684017, -71.34394321759198 -16.72993429270356, -71.35332375320367 -16.72993429270356, -71.3580140210095 -16.737713895684017, -71.35332375320367 -16.745493498664473, -71.34394321759198 -16.745493498664473, -71.33925294978616 -16.737713895684017))",-16.737713895684017,-71.34863348539783,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000442,"POLYGON ((-71.32516146567237 -16.745493498664473, -71.32985192504836 -16.737713895684017, -71.33923284380035 -16.737713895684017, -71.34392330317634 -16.745493498664473, -71.33923284380035 -16.75327310164493, -71.32985192504836 -16.75327310164493, -71.32516146567237 -16.745493498664473))",-16.745493498664473,-71.33454238442435,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
