hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-75.25727503709292 -12.097199, -75.25957181854646 -12.093309198509772, -75.26416538145354 -12.093309198509772, -75.26646216290708 -12.097199, -75.26416538145354 -12.101088801490228, -75.25957181854646 -12.101088801490228, -75.25727503709292 -12.097199))",-12.097199,-75.2618686,JUNIN,CHUPACA,CHONGOS BAJO,True,0,0,Microzona invalida,2025-04-22 11:07:22.523039
zona_000002,"POLYGON ((-75.25038475956099 -12.093309198509772, -75.25268150760019 -12.089419397019544, -75.25727500367859 -12.089419397019544, -75.25957175171779 -12.093309198509772, -75.25727500367859 -12.097199, -75.25268150760019 -12.097199, -75.25038475956099 -12.093309198509772))",-12.093309198509772,-75.25497825563939,JUNIN,CHUPACA,HUAMANCACA CHICO,True,0,0,Microzona invalida,2025-04-22 11:07:22.523039
zona_000003,"POLYGON ((-75.24349434837168 -12.097199, -75.24579112982522 -12.093309198509772, -75.2503846927323 -12.093309198509772, -75.25268147418583 -12.097199, -75.2503846927323 -12.101088801490228, -75.24579112982522 -12.101088801490228, -75.24349434837168 -12.097199))",-12.097199,-75.24808791127876,JUNIN,CHUPACA,TRES DE DICIEMBRE,True,0,0,Microzona invalida,2025-04-22 11:07:22.523039
zona_000004,"POLYGON ((-75.23660407083975 -12.093309198509772, -75.23890081887895 -12.089419397019544, -75.24349431495735 -12.089419397019544, -75.24579106299655 -12.093309198509772, -75.24349431495735 -12.097199, -75.23890081887895 -12.097199, -75.23660407083975 -12.093309198509772))",-12.093309198509772,-75.24119756691815,JUNIN,CHUPACA,HUAMANCACA CHICO,True,0,0,Microzona invalida,2025-04-22 11:07:22.523039
zona_000005,"POLYGON ((-75.22971365965044 -12.097199, -75.23201044110398 -12.093309198509772, -75.23660400401106 -12.093309198509772, -75.2389007854646 -12.097199, -75.23660400401106 -12.101088801490228, -75.23201044110398 -12.101088801490228, -75.22971365965044 -12.097199))",-12.097199,-75.23430722255752,JUNIN,CHUPACA,TRES DE DICIEMBRE,True,0,0,Microzona invalida,2025-04-22 11:07:22.523039
zona_000006,"POLYGON ((-75.2228233821185 -12.093309198509772, -75.2251201301577 -12.089419397019544, -75.2297136262361 -12.089419397019544, -75.2320103742753 -12.093309198509772, -75.2297136262361 -12.097199, -75.2251201301577 -12.097199, -75.2228233821185 -12.093309198509772))",-12.093309198509772,-75.2274168781969,JUNIN,HUANCAYO,CHILCA,True,0,0,Microzona invalida,2025-04-22 11:07:22.523039
zona_000007,"POLYGON ((-75.21593297092922 -12.097199, -75.21822975238275 -12.093309198509772, -75.22282331528983 -12.093309198509772, -75.22512009674337 -12.097199, -75.22282331528983 -12.101088801490228, -75.21822975238275 -12.101088801490228, -75.21593297092922 -12.097199))",-12.097199,-75.22052653383629,JUNIN,HUANCAYO,CHILCA,True,0,0,Microzona invalida,2025-04-22 11:07:22.523039
zona_000008,"POLYGON ((-75.20904269339727 -12.093309198509772, -75.21133944143646 -12.089419397019544, -75.21593293751486 -12.089419397019544, -75.21822968555406 -12.093309198509772, -75.21593293751486 -12.097199, -75.21133944143646 -12.097199, -75.20904269339727 -12.093309198509772))",-12.093309198509772,-75.21363618947566,JUNIN,HUANCAYO,CHILCA,True,362,2219,No se pudieron encontrar las tiendas solicitadas,2025-04-22 11:07:22.523039
zona_000009,"POLYGON ((-75.20215228220798 -12.097199, -75.20444906366151 -12.093309198509772, -75.20904262656859 -12.093309198509772, -75.21133940802213 -12.097199, -75.20904262656859 -12.101088801490228, -75.20444906366151 -12.101088801490228, -75.20215228220798 -12.097199))",-12.097199,-75.20674584511505,JUNIN,HUANCAYO,CHILCA,True,362,2219,No se pudieron encontrar las tiendas solicitadas,2025-04-22 11:07:22.523039
zona_000010,"POLYGON ((-75.19526200467602 -12.093309198509772, -75.19755875271522 -12.089419397019544, -75.20215224879362 -12.089419397019544, -75.20444899683282 -12.093309198509772, -75.20215224879362 -12.097199, -75.19755875271522 -12.097199, -75.19526200467602 -12.093309198509772))",-12.093309198509772,-75.19985550075442,JUNIN,HUANCAYO,CHILCA,True,362,2219,No se pudieron encontrar las tiendas solicitadas,2025-04-22 11:07:22.523039
