hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000124,"POLYGON ((-77.00683528127527 -12.214991786587944, -77.00913308007608 -12.211101985097716, -77.0137286776777 -12.211101985097716, -77.01602647647852 -12.214991786587944, -77.0137286776777 -12.218881588078172, -77.00913308007608 -12.218881588078172, -77.00683528127527 -12.214991786587944))",-12.214991786587944,-77.0114308788769,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000147,"POLYGON ((-77.0206240355391 -12.207212183607488, -77.02292176682205 -12.20332238211726, -77.02751722938793 -12.20332238211726, -77.02981496067088 -12.207212183607488, -77.02751722938793 -12.211101985097716, -77.02292176682205 -12.211101985097716, -77.0206240355391 -12.207212183607488))",-12.207212183607488,-77.02521949810499,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000148,"POLYGON ((-77.01372965841877 -12.211101985097716, -77.01602742345484 -12.207212183607488, -77.02062295352702 -12.207212183607488, -77.0229207185631 -12.211101985097716, -77.02062295352702 -12.214991786587944, -77.01602742345484 -12.214991786587944, -77.01372965841877 -12.211101985097716))",-12.211101985097716,-77.01832518849093,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000149,"POLYGON ((-77.006835416311 -12.207212183607488, -77.00913314759396 -12.20332238211726, -77.01372861015983 -12.20332238211726, -77.01602634144278 -12.207212183607488, -77.01372861015983 -12.211101985097716, -77.00913314759396 -12.211101985097716, -77.006835416311 -12.207212183607488))",-12.207212183607488,-77.0114308788769,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000150,"POLYGON ((-76.99994103919067 -12.211101985097716, -77.00223880422675 -12.207212183607488, -77.00683433429893 -12.207212183607488, -77.009132099335 -12.211101985097716, -77.00683433429893 -12.214991786587944, -77.00223880422675 -12.214991786587944, -76.99994103919067 -12.211101985097716))",-12.211101985097716,-77.00453656926284,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000171,"POLYGON ((-77.02751841263628 -12.20332238211726, -77.02981611017766 -12.199432580627033, -77.03441150526042 -12.199432580627033, -77.0367092028018 -12.20332238211726, -77.03441150526042 -12.207212183607488, -77.02981611017766 -12.207212183607488, -77.02751841263628 -12.20332238211726))",-12.20332238211726,-77.03211380771904,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000172,"POLYGON ((-77.02062417048218 -12.19943258062703, -77.02292183429358 -12.195542779136803, -77.02751716191639 -12.195542779136803, -77.0298148257278 -12.19943258062703, -77.02751716191639 -12.203322382117259, -77.02292183429358 -12.203322382117259, -77.02062417048218 -12.19943258062703))",-12.19943258062703,-77.02521949810499,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000173,"POLYGON ((-77.01372979340817 -12.20332238211726, -77.01602749094955 -12.199432580627033, -77.02062288603231 -12.199432580627033, -77.0229205835737 -12.20332238211726, -77.02062288603231 -12.207212183607488, -77.01602749094955 -12.207212183607488, -77.01372979340817 -12.20332238211726))",-12.20332238211726,-77.01832518849093,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000174,"POLYGON ((-77.00683555125408 -12.19943258062703, -77.00913321506549 -12.195542779136803, -77.0137285426883 -12.195542779136803, -77.0160262064997 -12.19943258062703, -77.0137285426883 -12.203322382117259, -77.00913321506549 -12.203322382117259, -77.00683555125408 -12.19943258062703))",-12.19943258062703,-77.0114308788769,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000175,"POLYGON ((-76.99994117418008 -12.20332238211726, -77.00223887172146 -12.199432580627033, -77.00683426680422 -12.199432580627033, -77.0091319643456 -12.20332238211726, -77.00683426680422 -12.207212183607488, -77.00223887172146 -12.207212183607488, -76.99994117418008 -12.20332238211726))",-12.20332238211726,-77.00453656926284,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000196,"POLYGON ((-77.02751854753303 -12.195542779136803, -77.02981617762605 -12.191652977646575, -77.03441143781204 -12.191652977646575, -77.03670906790505 -12.195542779136803, -77.03441143781204 -12.19943258062703, -77.02981617762605 -12.19943258062703, -77.02751854753303 -12.195542779136803))",-12.195542779136803,-77.03211380771904,LIMA,LIMA,CHORRILLOS,True,0,0,Microzona invalida,2025-04-22 16:44:30.488876
zona_000197,"POLYGON ((-77.02062430533263 -12.191652977646575, -77.0229219017188 -12.187763176156347, -77.02751709449117 -12.187763176156347, -77.02981469087734 -12.191652977646575, -77.02751709449117 -12.195542779136803, -77.0229219017188 -12.195542779136803, -77.02062430533263 -12.191652977646575))",-12.191652977646575,-77.02521949810499,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000198,"POLYGON ((-77.01372992830493 -12.195542779136803, -77.01602755839794 -12.191652977646575, -77.02062281858393 -12.191652977646575, -77.02292044867694 -12.195542779136803, -77.02062281858393 -12.19943258062703, -77.01602755839794 -12.19943258062703, -77.01372992830493 -12.195542779136803))",-12.195542779136803,-77.01832518849093,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
zona_000199,"POLYGON ((-77.00683568610454 -12.191652977646575, -77.00913328249071 -12.187763176156347, -77.01372847526308 -12.187763176156347, -77.01602607164925 -12.191652977646575, -77.01372847526308 -12.195542779136803, -77.00913328249071 -12.195542779136803, -77.00683568610454 -12.191652977646575))",-12.191652977646575,-77.0114308788769,LIMA,LIMA,CHORRILLOS,True,53,54,No se pudieron encontrar las tiendas solicitadas,2025-04-22 16:44:30.488876
