hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000005,"POLYGON ((-79.04190848099235 -8.15271, -79.04417718735003 -8.148820198509773, -79.04871460006542 -8.148820198509773, -79.0509833064231 -8.15271, -79.04871460006542 -8.156599801490229, -79.04417718735003 -8.156599801490229, -79.04190848099235 -8.15271))",-8.15271,-79.04644589370773,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,True,92,72,No se pudieron encontrar las tiendas solicitadas,2025-04-22 11:20:59.082051
zona_000006,"POLYGON ((-79.03510240603875 -8.148820198509773, -79.03737109033669 -8.144930397019545, -79.04190845893261 -8.144930397019545, -79.04417714323056 -8.148820198509773, -79.04190845893261 -8.15271, -79.03737109033669 -8.15271, -79.03510240603875 -8.148820198509773))",-8.148820198509773,-79.03963977463465,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,True,92,72,No se pudieron encontrar las tiendas solicitadas,2025-04-22 11:20:59.082051
zona_000007,"POLYGON ((-79.02829624284621 -8.15271, -79.03056494920389 -8.148820198509773, -79.03510236191929 -8.148820198509773, -79.03737106827697 -8.15271, -79.03510236191929 -8.156599801490229, -79.03056494920389 -8.156599801490229, -79.02829624284621 -8.15271))",-8.15271,-79.03283365556159,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,True,0,0,Microzona invalida,2025-04-22 11:20:59.082051
zona_000008,"POLYGON ((-79.02149016789261 -8.148820198509773, -79.02375885219055 -8.144930397019545, -79.02829622078647 -8.144930397019545, -79.03056490508442 -8.148820198509773, -79.02829622078647 -8.15271, -79.02375885219055 -8.15271, -79.02149016789261 -8.148820198509773))",-8.148820198509773,-79.02602753648851,LA LIBERTAD,TRUJILLO,TRUJILLO,True,0,0,Microzona invalida,2025-04-22 11:20:59.082051
zona_000009,"POLYGON ((-79.01468400470007 -8.15271, -79.01695271105775 -8.148820198509773, -79.02149012377315 -8.148820198509773, -79.02375883013083 -8.15271, -79.02149012377315 -8.156599801490229, -79.01695271105775 -8.156599801490229, -79.01468400470007 -8.15271))",-8.15271,-79.01922141741545,LA LIBERTAD,TRUJILLO,MOCHE,True,0,0,Microzona invalida,2025-04-22 11:20:59.082051
zona_000010,"POLYGON ((-79.00787792974647 -8.148820198509773, -79.01014661404442 -8.144930397019545, -79.01468398264034 -8.144930397019545, -79.01695266693828 -8.148820198509773, -79.01468398264034 -8.15271, -79.01014661404442 -8.15271, -79.00787792974647 -8.148820198509773))",-8.148820198509773,-79.01241529834238,LA LIBERTAD,TRUJILLO,MOCHE,True,92,72,No se pudieron encontrar las tiendas solicitadas,2025-04-22 11:20:59.082051
zona_000011,"POLYGON ((-79.00107176655393 -8.15271, -79.00334047291162 -8.148820198509773, -79.00787788562701 -8.148820198509773, -79.0101465919847 -8.15271, -79.00787788562701 -8.156599801490229, -79.00334047291162 -8.156599801490229, -79.00107176655393 -8.15271))",-8.15271,-79.00560917926931,LA LIBERTAD,TRUJILLO,MOCHE,True,0,0,Microzona invalida,2025-04-22 11:20:59.082051
zona_000012,"POLYGON ((-78.99426569160033 -8.148820198509773, -78.99653437589828 -8.144930397019545, -79.0010717444942 -8.144930397019545, -79.00334042879214 -8.148820198509773, -79.0010717444942 -8.15271, -78.99653437589828 -8.15271, -78.99426569160033 -8.148820198509773))",-8.148820198509773,-78.99880306019624,LA LIBERTAD,TRUJILLO,MOCHE,True,0,0,Microzona invalida,2025-04-22 11:20:59.082051
zona_000013,"POLYGON ((-78.9874595284078 -8.15271, -78.98972823476548 -8.148820198509773, -78.99426564748087 -8.148820198509773, -78.99653435383856 -8.15271, -78.99426564748087 -8.156599801490229, -78.98972823476548 -8.156599801490229, -78.9874595284078 -8.15271))",-8.15271,-78.99199694112318,LA LIBERTAD,TRUJILLO,MOCHE,True,0,0,Microzona invalida,2025-04-22 11:20:59.082051
zona_000014,"POLYGON ((-78.9806534534542 -8.148820198509773, -78.98292213775214 -8.144930397019545, -78.98745950634806 -8.144930397019545, -78.989728190646 -8.148820198509773, -78.98745950634806 -8.15271, -78.98292213775214 -8.15271, -78.9806534534542 -8.148820198509773))",-8.148820198509773,-78.9851908220501,LA LIBERTAD,TRUJILLO,MOCHE,True,0,0,Microzona invalida,2025-04-22 11:20:59.082051
